"symbol","width","SE1_breaks","SE1_density","SE2_breaks","SE2_density","SR1_breaks","SR1_density","SR2_breaks","SR2_density","TE1_breaks","TE1_density","TE2_breaks","TE2_density","TR1_breaks","TR1_density","TR2_breaks","TR2_density","SE_mean","SR_mean","TE_mean","TR_mean","break_group"
"AASDHPPT",21129,0.72,33.91,0.54,25.54,0.35,16.38,0.73,34.76,0.71,33.67,0.4,18.74,0.69,32.77,0.5,23.45,29.725,25.57,26.205,28.11,"3"
"AASS",70748,1.93,27.27,1.67,23.64,1.9,26.9,1.48,20.94,1.83,25.93,1.58,22.38,1.38,19.58,1.32,18.67,25.455,23.92,24.155,19.125,"3"
"AATBC",6811,0.99,145.66,0.7,103,0.43,63.5,0.5,73.78,0.55,80.63,0.59,87.18,0.87,127.09,0.83,121.24,124.33,68.64,83.905,124.165,"9"
"AATF",107998,2.87,26.54,3.72,34.48,1.64,15.22,2.47,22.91,2.02,18.72,3.83,35.43,4.67,43.28,2.31,21.41,30.51,19.065,27.075,32.345,"3"
"AATK",48778,1.76,36.16,2.64,54.21,1.9,39.01,2.58,52.83,3.84,78.81,3.43,70.34,2.42,49.69,1.82,37.24,45.185,45.92,74.575,43.465,"5"
"AATK-AS1",17659,0.77,43.7,1.03,58.06,0.86,48.98,1.3,73.69,1.56,88.35,1.12,63.52,0.17,9.8,0.33,18.7,50.88,61.335,75.935,14.25,"6"
"ABALON",1904,0.44,231.58,0.59,311.75,0.17,90.86,0.52,270.68,0.35,183.55,0.33,173.26,0.17,90.92,0.5,260.22,271.665,180.77,178.405,175.57,"9"
"ABAT",109990,8.27,75.16,6.1,55.44,6.53,59.37,4.96,45.1,4.33,39.38,6.93,62.98,7.44,67.68,5.28,48.05,65.3,52.235,51.18,57.865,"7"
"ABCA1",147245,7.88,53.53,7.23,49.11,7.78,52.87,8.56,58.1,7.94,53.91,7.39,50.19,6.06,41.15,5.12,34.77,51.32,55.485,52.05,37.96,"6"
"ABCA10",96810,3.91,40.42,3.13,32.33,4.24,43.78,3.62,37.4,3.86,39.84,4.09,42.25,2.25,23.25,2.97,30.71,36.375,40.59,41.045,26.98,"4"
"ABCA11P",48776,2.2,45.2,2.43,49.78,1.86,38.13,1.35,27.74,0.96,19.7,1.72,35.17,1.73,35.49,1.65,33.86,47.49,32.935,27.435,34.675,"6"
"ABCA12",206888,5.18,25.04,6.1,29.47,6.57,31.78,6.52,31.51,6.81,32.94,5.48,26.47,5.71,27.61,4.79,23.15,27.255,31.645,29.705,25.38,"3"
"ABCA13",476037,10.58,22.23,12.36,25.96,15.79,33.16,12.11,25.44,13.48,28.32,13.2,27.72,11.6,24.37,10.24,21.51,24.095,29.3,28.02,22.94,"2"
"ABCA17P",85779,2.65,30.84,3.18,37.12,2.81,32.77,3.96,46.11,3.64,42.49,3.36,39.23,3.29,38.34,2.97,34.66,33.98,39.44,40.86,36.5,"4"
"ABCA2",21690,1.27,58.44,1.89,87.07,0.74,33.9,1.02,46.93,1.24,56.97,1.19,54.75,0.87,39.91,1.32,60.91,72.755,40.415,55.86,50.41,"8"
"ABCA3",64870,2.43,37.38,3.78,58.23,2.72,42,3.01,46.48,3.21,49.45,3.76,57.97,1.73,26.69,3.47,53.46,47.805,44.24,53.71,40.075,"6"
"ABCA4",128313,3.36,26.2,2.97,23.13,2.59,20.22,3.85,30.02,3.37,26.26,3.56,27.77,2.25,17.54,3.14,24.45,24.665,25.12,27.015,20.995,"2"
