"gene","rloop_density","rloop_rank","rloop_empirical_p","rloop_z"
"NKPD1",32.08,46,0.00170914765549528,2.92738128559308
"LOC100128770",31.55,47,0.0017463030393104,2.92068692438247
"CFL1",31.31,48,0.00178345842312551,2.91412094745007
"TPSG1",30.68,49,0.00182061380694063,2.90767825040526
"WDR24",30.58,50,0.00185776919075574,2.90135403139755
"LOC105369340",30.37,51,0.00189492457457086,2.8951437675275
"JUN",29.94,52,0.00193207995838597,2.8890431935206
"PPAN",29.52,53,0.00196923534220108,2.88304828240773
"ACTG1",28.78,54,0.0020063907260162,2.87715522798947
"CCDC78",28.64,55,0.00204354610983131,2.87136042888967
"ARHGDIA",28.59,56,0.00208070149364643,2.86566047402824
"JUND",28.53,57,0.00211785687746154,2.86005212936388
"HAGHL",28.48,58,0.00215501226127666,2.85453232577537
"MIR6777",28.44,59,0.00219216764509177,2.84909814796616
"NME3",27.99,60,0.00222932302890689,2.84374682428969
"SNORD105",27.93,61,0.002266478412722,2.83847571740527
"FKBP2",27.67,62,0.00230363379653712,2.83328231568425
"ZNHIT2",27.58,63,0.00234078918035223,2.82816422529513
"PPP1R14B",27.37,64,0.00237794456416735,2.82311916290408
"RAB26",27.37,65,0.00241509994798246,2.81814494893436
"C1ORF122",27.24,66,0.00245225533179758,2.81323950133368
"H3F3B",27.15,67,0.00248941071561269,2.8084008298044
"IER2",27,68,0.00252656609942781,2.80362703045569
"HES1",26.71,69,0.00256372148324292,2.79891628084111
"MIR429",26.68,70,0.00260087686705804,2.79426683534871
"TNFRSF12A",26.57,71,0.00263803225087315,2.78967702091386
"MIR6797",26.45,72,0.00267518763468827,2.78514523302812
"MIR141",26.11,73,0.00271234301850338,2.78066993201978
"XBP1",26.05,74,0.0027494984023185,2.77624963958431
"FASN",26.03,75,0.00278665378613361,2.7718829355445
"JMJD8",25.87,76,0.00282380916994873,2.76756845482255
"SNORA64",25.37,77,0.00286096455376384,2.76330488460743
"LOC100289511",25.36,78,0.00289811993757896,2.7590909617027
"GALNS",25.29,79,0.00293527532139407,2.75492547004098
"MIF",25.28,80,0.00297243070520918,2.75080723835281
"LOC100506281",25.15,81,0.0030095860890243,2.74673513797832
"STUB1",25.14,82,0.00304674147283941,2.74270808081154
"CCND1",25.06,83,0.00308389685665453,2.73872501736748
"EIF1",24.71,84,0.00312105224046964,2.73478493496364
"PPP1R15A",24.71,85,0.00315820762428476,2.73088685600757
"EPPK1",24.68,86,0.00319536300809987,2.72702983638334
"MYADM",24.59,87,0.00323251839191499,2.72321296392996
"LOC221946",24.57,88,0.0032696737757301,2.71943535700575
"PKMYT1",24.28,89,0.00330682915954522,2.71569616313256
"PTPRCAP",24.07,90,0.00334398454336033,2.7119945577149
"HIST2H3A",23.92,91,0.00338113992717545,2.70832974282878
"SPSB3",23.73,92,0.00341829531099056,2.70470094607593
"PGAM2",23.51,93,0.00345545069480568,2.70110741949906
"PHPT1",23.49,94,0.00349260607862079,2.69754843855443
"LRFN4",23.47,95,0.00352976146243591,2.69402330113799
"EIF3G",23.4,96,0.00356691684625102,2.69053132666188
"MIF-AS1",23.21,97,0.00360407223006614,2.6870718551781
"ESRP2",23.18,98,0.00364122761388125,2.68364424654651
"MIR25",23.12,99,0.00367838299769637,2.68024787964457
