"gene","top1cc_density","top1cc_rank","top1cc_empirical_p","top1cc_z"
"BOLA2",1.94,218,0.00809987367169503,2.4043839833141
"FOSB",1.94,219,0.00813702905551014,2.40271066069328
"HIST1H2AE",1.94,220,0.00817418443932526,2.40104403875645
"NDUFB10",1.94,221,0.00821133982314037,2.39938405946041
"NPIPB3",1.94,222,0.00824849520695549,2.39773066552633
"RNFT1",1.94,223,0.0082856505907706,2.39608380042625
"SNORD83B",1.94,224,0.00832280597458572,2.3944434083699
"FAM231A",1.93,225,0.00835996135840083,2.39280943429185
"MIR4448",1.93,226,0.00839711674221595,2.39118182383887
"MIR4496",1.93,227,0.00843427212603106,2.38956052335766
"MIR5703",1.93,228,0.00847142750984618,2.38794547988271
"MIR6835",1.93,229,0.00850858289366129,2.38633664112455
"MIR7111",1.93,230,0.00854573827747641,2.38473395545818
"MIR8085",1.93,231,0.00858289366129152,2.38313737191178
"PPM1D",1.93,232,0.00862004904510664,2.38154684015565
"RNU4ATAC",1.93,233,0.00865720442892175,2.37996231049138
"TBX2",1.93,234,0.00869435981273687,2.37838373384122
"TRIB1",1.93,235,0.00873151519655198,2.37681106173776
"GOLGA6B",1.92,236,0.0087686705803671,2.37524424631372
"PLCG1-AS1",1.92,237,0.00880582596418221,2.37368324029204
"SNORA28",1.92,238,0.00884298134799733,2.37212799697609
"DCLRE1B",1.91,239,0.00888013673181244,2.3705784702402
"HIPK1-AS1",1.91,240,0.00891729211562755,2.36903461452024
"HIST1H2AH",1.91,241,0.00895444749944267,2.36749638480451
"HIST1H2AL",1.91,242,0.00899160288325778,2.36596373662477
"MIR149",1.91,243,0.0090287582670729,2.36443662604743
"MIR4649",1.91,244,0.00906591365088801,2.362915009665
"SNORA57",1.91,245,0.00910306903470313,2.36139884458758
"SNORD88B",1.91,246,0.00914022441851824,2.35988808843465
"WFDC21P",1.91,247,0.00917737980233336,2.35838269932693
"DOK5",1.9,248,0.00921453518614847,2.3568826358785
"IER2",1.9,249,0.00925169056996359,2.35538785718895
"MIR4520-2",1.9,250,0.0092888459537787,2.3538983228358
"MIR4523",1.9,251,0.00932600133759382,2.352413992867
"MIR614",1.9,252,0.00936315672140893,2.35093482779362
"RNVU1-19",1.9,253,0.00940031210522405,2.34946078858263
"RNVU1-3",1.9,254,0.00943746748903916,2.34799183664987
"HIST1H4C",1.89,255,0.00947462287285428,2.34652793385313
"MIR3670-1",1.89,256,0.00951177825666939,2.34506904248538
"MIR4779",1.89,257,0.00954893364048451,2.34361512526811
