"gene","expression"
"SNHG29",281.393333333333
"PSMA6",278.183333333333
"NDUFA13",276.958333333333
"COX7B",276.59
"FIS1",274.883333333333
"ATP5ME",273.961666666667
"ATP6V1G1",272.846666666667
"EEF1D",272.648333333333
"RPL36AP37",271.815
"RPL14",270.995
"TPM3",269.325
"NDUFAB1",268.503333333333
"DKK1",267.458333333333
"SNRPE",267.345
"ATP5PD",267.211666666667
"CCT2",262.311666666667
"RPS2P5",262.265
"CKS1B",261.585
"APEX1",261.145
"PRSS23",260.665
"PPIB",260.6
"SCD",258.863333333333
"PRDX1",258.608333333333
"CCND1",255.948333333333
"ATP5F1A",255.493333333333
"ATP5IF1",251.7
"GPRC5A",251.325
"COX6B1",251.151666666667
"CALM3",250.183333333333
"HSP90B1",248.306666666667
"PSMC1",245.986666666667
"DYNLL1",243.208333333333
"PA2G4",242.185
"ANP32B",241.158333333333
"RAB7A",240.568333333333
"RPS15",240.148333333333
"MAT2A",239.726666666667
"FXYD3",238.956666666667
"DBI",236.87
"PSMA7",235.455
"LAPTM4B",235.111666666667
"FBL",234.763333333333
"HSPD1",233.943333333333
"HNRNPU",232.621666666667
"SEPTIN2",231.946666666667
"STC2",231.906666666667
"PSMC2",231.488333333333
"SNRPD2",231.12
"NDUFB2",231.041666666667
"TRMT112",230.783333333333
"SRSF1",229.805
"NDUFA1",228.685
"ATP6V0E1",228.163333333333
"CNBP",227.646666666667
"DDX39B",227.013333333333
"DAD1",225.92
"NACA",224.23
"PHB1",221.86
"NHP2",221.121666666667
"VAMP8",220.651666666667
"RBMX",218.526666666667
"SELENOT",218.45
"RPL22",217.495
"PARK7",216.788333333333
"PCNA",216.176666666667
"SF3B6",215.165
"SERF2",215.011666666667
"PRDX2",214.103333333333
"NUCKS1",212.92
"RPS6KB1",212.856666666667
"LDHA",212.803333333333
"CDH1",212.501666666667
"RAD51C",212.44
"DHX9",212.131666666667
"RANBP1",211.821666666667
"CCT7",211.801666666667
"HIGD1A",211.611666666667
"C1QBP",211.516666666667
"FKBP4",211.353333333333
"CHCHD2",211.178333333333
"COX5B",209.751666666667
"COX8A",209.075
"ZFAS1",208.998333333333
"SRP14",208.98
"HNRNPAB",208.653333333333
"HSPA9",207.636666666667
"PSMC3",207.353333333333
"EIF5",207.211666666667
"PRKAR1A",206.665
"EIF3M",206.663333333333
"RPL21P75",206.268333333333
"SRSF7",204.741666666667
"PGAM1",204.15
"BOLA2B",203.27
"ATP5MJ",203.24
"NAP1L1",202.795
"SUMO3",202.686666666667
"RNF181",202.365
"BEX3",202.036666666667
"SRSF9",201.288333333333
"EIF3H",201.221666666667
"EIF4G2",200.905
"SEM1",200.32
"CDC37",200.091666666667
"CEP15",200.076666666667
"ATP5F1C",198.315
"TMED10",197.898333333333
"SERBP1",197.056666666667
"TOMM6",196.561666666667
"HNRNPF",196.335
"SRSF2",196.321666666667
"TPD52L1",193.57
"MCM7",192.453333333333
"TRIM28",192.268333333333
"ERH",191.09
"POLE3",190.838333333333
"XRCC5",190.426666666667
"PFN2",187.96
"MORF4L1",187.555
"SLIRP",187.55
"ENY2",187.15
"PTGES3",186.643333333333
"NELFCD",186.198333333333
"CDK4",186.195
"SYTL2",185.798333333333
"SNHG6",185.025
"KARS1",183.325
"ATP5MC3",183.248333333333
"SFPQ",182.873333333333
"NME1",182.716666666667
"SNHG1",182.265
"POLR2G",180.885
"STIP1",179.323333333333
"PRDX5",178.74
"HDLBP",178.506666666667
"PPP4C",178.496666666667
"S100A13",178.418333333333
"PRMT1",177.841666666667
"HSPA5",177.751666666667
"RBBP7",177.506666666667
"ITGB1",177.105
"RPN1",176.435
"RAD21",176.408333333333
"HNRNPH3",175.22
"SSBP1",174.173333333333
"HMGB1P6",173.57
"SNRPC",173.336666666667
"NDUFB4",172.591666666667
"PSMD4",171.981666666667
"RPS26",171.451666666667
"RAB11A",170.175
"NDUFA12",169.725
"NMD3",169.68
"EPCAM",169.678333333333
"NDUFS3",169.675
"ARF3",169.628333333333
"SLC38A2",169.156666666667
"STARD10",169.126666666667
"LGALS3",168.816666666667
"PDCD6",168.558333333333
"GSTM3",167.313333333333
"CIRBP",166.476666666667
"PSMA2",166.331666666667
"SPINT2",165.901666666667
"TBCA",165.691666666667
"USP32",165.33
"CERS2",165.041666666667
"NHERF1",164.458333333333
"EIF5A",164.396666666667
"CTTN",163.971666666667
"SUB1",163.823333333333
"PDIA6",162.196666666667
"PGK1",161.611666666667
"TACSTD2",160.703333333333
"CTSD",160.138333333333
"CA2",159.8
"PSMA1",159.221666666667
"LSM5",158.81
"PSMD7",158.621666666667
"TMEM64",157.6
"MRFAP1",157.006666666667
"BUB3",156.893333333333
"TARDBP",156.736666666667
"NOP10",156.073333333333
"PCLAF",155.483333333333
"DDX42",155.22
"RPN2",155.216666666667
"H2AZ2",154.886666666667
"FAU",154.731666666667
"CAPNS1",154.703333333333
"UQCRB",154.578333333333
"RTRAF",154.556666666667
"POLR2H",154.516666666667
"SNRPA1",154.383333333333
"TPM1",154.283333333333
"MLPH",154.28
"ISOC1",154.238333333333
"RPL27A",154.16
"H3-3A",154.08
"ARF1",153.98
"ACTN4",153.22
"PAPOLA",153.11
"SNRPEP2",152.83
"STMN1",152.76
"PSMD2",151.988333333333
"C1ORF43",151.908333333333
"EIF2S1",151.48
"HNRNPM",151.446666666667
"SUPT4H1",151.406666666667
"SEC61B",151.148333333333
"H3P6",150.743333333333
"NCOA3",150.641666666667
"AREG",150.483333333333
"DAZAP2",150.113333333333
"ATP5PO",149.763333333333
"RAE1",149.561666666667
"ATP5MC1",149.345
"SRRM2",148.341666666667
"SULF2",148.316666666667
"CYC1",148.3
"PRC1",148.088333333333
"PRPF8",147.691666666667
"SEC11A",147.403333333333
"CBX3",146.838333333333
"FLNA",146.8
"DNAJA1",146.71
"KPNB1",146.663333333333
"HNRNPDL",146.646666666667
"FUS",146.521666666667
"ARPC2",146.226666666667
"GABARAPL2",146.201666666667
"HEATR6",146.046666666667
"SAE1",146.036666666667
"RAD23B",145.88
"HSBP1",145.451666666667
"TMED2",145.373333333333
"TOMM7",145.193333333333
"EIF3K",144.663333333333
"HNRNPL",144.186666666667
"ATP5PF",143.998333333333
"RBM4",143.745
"DHX15",143.626666666667
"SNHG32",143.253333333333
"MRPL51",142.983333333333
"PSMB6",141.901666666667
"SCARNA9",141.708333333333
"TMEM106C",141.335
"RBM5",141.123333333333
"SNRNP200",141.098333333333
"ATIC",140.988333333333
"COX7A2L",140.908333333333
"PDXK",140.241666666667
"GHITM",139.693333333333
"IST1",139.63
"UBE2Z",138.636666666667
"GABARAP",138.6
"MTATP6P1",138.453333333333
"HMGN2P5",138.428333333333
"WDR1",137.956666666667
"FBP1",137.66
"PRPF3",137.645
"ARF5",136.97
"SLC38A1",136.265
"HMGB3",136.263333333333
"SARS1",136.105
"ARPC1B",136.046666666667
"CS",135.976666666667
"APPBP2",135.966666666667
"MCM4",135.675
"MRPS23",135.5
"PRDX3",135.316666666667
"FOXA1",135.181666666667
"CCNB1",134.995
"KRT80",134.948333333333
"CCT6A",134.876666666667
"PTTG1",134.871666666667
"GLA",134.681666666667
"MDH1",134.511666666667
"YWHAB",134.466666666667
"RAB10",134.116666666667
"DDB1",134.073333333333
"DKC1",133.773333333333
"MAL2",133.5
"HDGF",133.431666666667
"JTB",133.093333333333
"ARF4",133.088333333333
"EIF3B",133.056666666667
"NONO",132.878333333333
"SF3B2",132.693333333333
"PSAP",132.693333333333
"SKA2",132.583333333333
"BCAP31",132.29
"ARPC1A",132.161666666667
"DDX23",131.485
"GNB1",131.398333333333
"COX7A2",130.621666666667
"RPL28",130.591666666667
"GARS1",130.508333333333
"MCM3",130.28
"SEMA3C",130.205
"MARCKSL1",130.123333333333
"CDK5RAP3",130.116666666667
"CDK2AP1",129.545
"PPIAP22",129.47
"TUBA1A",129.36
"BRK1",129.088333333333
"SARNP",128.998333333333
"CLIC1",128.971666666667
"CCDC47",128.925
"PABPN1",128.86
"SNHG19",128.791666666667
"PTRH2",128.775
"CLNS1A",128.5
"HACD2",128.398333333333
"VCP",127.908333333333
"PRDX6",127.711666666667
"OS9",127.35
"TRAM1",127.08
"PRELID1",126.98
"SRSF3",126.783333333333
