"gene","top1_density"
"ADA",1.14
"ADAD1",1.09
"ADAD2",0.95
"ADAL",1.1
"ADAM10",1.16
"ADAM11",1.13
"ADAM12",1.07
"ADAM15",1.15
"ADAM17",1.16
"ADAM18",1.06
"ADAM19",1.06
"ADAM1A",1.19
"ADAM2",1.03
"ADAM20",1.15
"ADAM20P1",1.05
"ADAM21",1.12
"ADAM21P1",1.3
"ADAM22",1.12
"ADAM23",1.07
"ADAM28",1.05
"ADAM29",1.04
"ADAM30",1.17
"ADAM32",1.09
"ADAM33",1.01
"ADAM3A",1.09
"ADAM3B",1.32
"ADAM5",1.05
"ADAM6",0.99
"ADAM7",1.05
"ADAM8",1.13
"ADAM9",1.1
"ADAMDEC1",1.03
"ADAMTS1",1.07
"ADAMTS10",1.07
"ADAMTS12",1.06
"ADAMTS13",1.1
"ADAMTS14",1.03
"ADAMTS15",1.03
"ADAMTS16",1.09
"ADAMTS17",1.07
"ADAMTS18",1.13
"ADAMTS19",1.23
"ADAMTS19-AS1",1.08
"ADAMTS2",1.07
"ADAMTS20",1.1
"ADAMTS3",1.06
"ADAMTS4",1
"ADAMTS5",1.07
"ADAMTS6",1.09
"ADAMTS7",1.1
"ADAMTS7P1",1.09
"ADAMTS8",1.08
"ADAMTS9",1.05
"ADAMTS9-AS1",1.05
"ADAMTS9-AS2",1.01
"ADAMTSL1",1.07
"ADAMTSL2",1.07
"ADAMTSL3",1.07
"ADAMTSL4",1.21
"ADAMTSL4-AS1",2.68
"ADAMTSL5",1.04
"ADAP1",1.1
"ADAP2",1.03
"ADAR",1.11
"ADARB1",1.11
"ADARB2",1.08
"ADARB2-AS1",1.08
"ADAT1",1.09
"ADAT2",1.09
"ADAT3",1.14
"ADCK1",1.09
"ADCK2",1.11
"ADCK5",1.13
"ADCY1",1.07
"ADCY10",1.05
"ADCY10P1",1.17
"ADCY2",1.06
"ADCY3",1.11
"ADCY4",1.05
"ADCY5",1.06
"ADCY6",1.12
"ADCY7",1.09
"ADCY8",1.05
"ADCY9",1.17
"ADCYAP1",1.05
"ADCYAP1R1",1.07
"ADD1",1.12
"ADD2",1.03
"ADD3",1.14
"ADD3-AS1",1.11
"ADGB",1.07
"ADGRA1",1.07
"ADGRA1-AS1",0.92
"ADGRA2",1.1
"ADGRA3",1.13
"ADGRB1",1.08
"ADGRB2",1.04
"ADGRB3",1.05
"ADGRD1",1.05
"ADGRE1",1.03
"ADGRE2",1.06
"ADGRE3",1.13
"ADGRE4P",1.05
"ADGRE5",1.17
"ADGRF1",1.08
"ADGRF2",1.13
"ADGRF3",1.16
"ADGRF4",1.08
"ADGRF5",1.1
"ADGRG1",1.09
"ADGRG2",1.08
"ADGRG3",1.09
"ADGRG4",1.05
"ADGRG5",1.02
"ADGRG6",1.15
"ADGRG7",1.08
"ADGRL1",1.11
"ADGRL2",1.1
"ADGRL3",1.06
"ADGRL3-AS1",1.06
"ADGRL4",1.07
"ADGRV1",1.09
"ADH1A",1.08
"ADH1B",1.04
"ADH1C",1.05
"ADH4",1.11
"ADH5",1.16
"ADH6",1.11
"ADH7",1.05
"ADHFE1",1.17
"ADI1",1.09
"ADIG",0.97
"ADIPOQ",1.14
"ADIPOQ-AS1",1.14
"ADIPOR1",1.13
"ADIPOR2",1.22
"ADIRF",0.92
"ADK",1.15
"ADM",1.16
"ADM2",1.17
"ADM5",1.33
"ADNP",1.39
"ADNP-AS1",1.11
"ADNP2",1.09
"ADO",1.17
"ADORA1",1.1
"ADORA2A",1.07
"ADORA2A-AS1",1.06
"ADORA2B",1.12
"ADORA3",1.15
"ADPGK",1.12
"ADPGK-AS1",1.1
"ADPRH",1.01
"ADPRHL1",1.1
"ADPRHL2",0.99
"ADPRM",1.04
"ADRA1A",1.06
"ADRA1B",1.08
"ADRA1D",1.08
"ADRA2A",1.13
"ADRA2B",1.09
"ADRA2C",0.94
"ADRB1",1.04
"ADRB2",1
"ADRB3",1.07
"ADRM1",1.3
"ADSL",1.09
"ADSS",1.15
"ADSSL1",1.21
"ADTRP",1.08
"AEBP1",1.19
"AEBP2",1.19
"AEN",1.17
"AES",1.08
"AFAP1",1.13
"AFAP1-AS1",1.12
"AFAP1L1",1.07
"AFAP1L2",1.06
"AFDN",1.1
"AFDN-AS1",1.07
"AFF1",1.15
"AFF2",1.05
"AFF3",1.09
"AFF4",1.29
"AFG3L1P",1.16
"AFG3L2",1.18
"AFM",1.07
"AFMID",1.03
"AFP",1.16
"AFTPH",1.11
"AGA",1.09
"AGAP1",1.12
"AGAP1-IT1",1.3
"AGAP11",1.05
"AGAP12P",1.05
"AGAP2",1.13
"AGAP2-AS1",1.16
"AGAP3",1.09
"AGAP4",1.15
"AGAP5",1.14
"AGAP6",1.15
"AGAP7P",1.12
"AGAP9",1.1
