"gene","top1_density"
"EIF4A1",1.47
"EIF4A2",2.28
"EIF4A3",1.2
"EIF4B",1.65
"EIF4E",1.26
"EIF4E1B",1.17
"EIF4E2",1.18
"EIF4E3",1.08
"EIF4EBP1",1.19
"EIF4EBP2",1.14
"EIF4EBP3",1.45
"EIF4ENIF1",1.17
"EIF4G1",1.24
"EIF4G2",1.31
"EIF4G3",1.19
"EIF4H",1.25
"EIF5",1.46
"EIF5A",1.16
"EIF5A2",1.13
"EIF5AL1",1.2
"EIF5B",1.15
"EIF6",1.12
"ELAC1",1.03
"ELAC2",1.15
"ELANE",1.09
"ELAVL1",1.14
"ELAVL2",1.05
"ELAVL3",1.11
"ELAVL4",1.08
"ELDR",1.06
"ELF1",1.3
"ELF2",1.26
"ELF3",3.4
"ELF4",1.2
"ELF5",1.01
"ELFN1",1.09
"ELFN1-AS1",1.23
"ELFN2",1.06
"ELK1",1.12
"ELK2AP",1.06
"ELK3",1.14
"ELK4",1.22
"ELL",1.08
"ELL2",1.11
"ELL3",1.28
"ELMO1",1.09
"ELMO1-AS1",1.12
"ELMO2",1.09
"ELMO3",1.05
"ELMOD1",1.09
"ELMOD2",1.09
"ELMOD3",1.08
"ELMSAN1",1.34
"ELN",1.11
"ELOA",1.15
"ELOA-AS1",1.18
"ELOA2",1.32
"ELOA3B",0.9
"ELOA3D",0.98
"ELOB",1.33
"ELOC",1.11
"ELOF1",1.03
"ELOVL1",1.22
"ELOVL2",1.12
"ELOVL2-AS1",1.08
"ELOVL3",0.83
"ELOVL4",1.09
"ELOVL5",1.16
"ELOVL6",1.12
"ELOVL7",1.11
"ELP2",1.22
"ELP3",1.1
"ELP4",1.09
"ELP5",1.52
"ELP6",1.16
"ELSPBP1",1.05
"EMB",1.2
"EMBP1",1.08
"EMC1",1.14
"EMC10",1.12
"EMC2",1.14
"EMC3",1.24
"EMC3-AS1",1.28
"EMC4",1.13
"EMC6",1.09
"EMC7",1.14
"EMC8",1.12
"EMC9",1.17
"EMCN",1.09
"EMD",1.02
"EME1",1.2
"EME2",1
"EMG1",1.23
"EMID1",1.12
"EMILIN1",1.02
"EMILIN2",1.1
"EMILIN3",1.2
"EML1",1.09
"EML2",1.16
"EML2-AS1",1.25
"EML3",1.06
"EML4",1.15
"EML5",1.09
"EML6",1.08
"EMP1",1.09
"EMP2",1.47
"EMP3",1.23
"EMSY",1.16
"EMX1",1.11
"EMX2",1.1
"EMX2OS",1.09
"EN1",1.13
"EN2",1.1
"ENAH",1.19
"ENAM",1.09
"ENC1",1.34
"ENDOD1",1.11
"ENDOG",1.21
"ENDOU",1.06
"ENDOV",1.1
"ENG",1.16
"ENGASE",0.98
"ENHO",0.9
"ENKD1",1.12
"ENKUR",1.07
"ENO1",1.6
"ENO1-AS1",0.88
"ENO2",0.98
"ENO3",1.12
"ENO4",1.15
"ENOPH1",1.18
"ENOSF1",1.22
"ENOX1",1.07
"ENOX1-AS2",1.02
"ENOX2",1.1
"ENPEP",1.12
"ENPP1",1.17
"ENPP2",1.08
"ENPP3",1.09
"ENPP4",1.02
"ENPP5",1.03
"ENPP6",1.04
"ENPP7",0.98
"ENPP7P13",1.06
"ENSA",1.17
"ENTHD1",1.11
"ENTPD1",1.08
"ENTPD1-AS1",1.09
"ENTPD2",1.02
"ENTPD3",1.03
"ENTPD3-AS1",1.04
"ENTPD4",1.07
"ENTPD5",1.13
"ENTPD6",1.09
"ENTPD7",1.15
"ENTPD8",1.11
"ENY2",1.07
"EOGT",1.09
"EOMES",1.06
"EP300",1.24
"EP300-AS1",1.14
"EP400",1.15
"EP400NL",1.17
"EPAS1",1.15
"EPB41",1.12
"EPB41L1",1.18
"EPB41L2",1.08
"EPB41L3",1.05
"EPB41L4A",1.11
"EPB41L4A-AS1",1.02
"EPB41L4A-AS2",1.18
"EPB41L4B",1.11
"EPB41L5",1.18
"EPB42",1.03
"EPC1",1.24
"EPC2",1.15
"EPCAM",1.25
"EPDR1",1.09
"EPG5",1.09
"EPGN",1.12
"EPHA1",1.12
"EPHA1-AS1",1.08
"EPHA10",1.02
"EPHA2",1.15
"EPHA3",1.08
"EPHA4",1.33
"EPHA5",1.04
"EPHA5-AS1",1.07
"EPHA6",1.07
"EPHA7",1.06
"EPHA8",1.01
"EPHB1",1.05
"EPHB2",1.08
"EPHB3",1.17
"EPHB4",1.2
"EPHB6",1.08
"EPHX1",1.17
"EPHX2",1.06
"EPHX3",1.35
"EPHX4",1.07
"EPM2A",1.09
"EPM2AIP1",1.05
"EPN1",1.08
"EPN2",1.17
"EPN2-AS1",1.09
"EPN2-IT1",0.95
"EPN3",1.15
"EPO",1.06
"EPOP",1.01
"EPOR",1.06
"EPPIN",1.15
"EPPIN-WFDC6",1.18
"EPPK1",1.64
"EPRS",1.1
"EPS15",1.18
"EPS15L1",1.22
"EPS8",1.11
"EPS8L1",1.06
"EPS8L2",1.08
"EPS8L3",1.09
"EPSTI1",1.07
"EPX",1.06
"EPYC",1.1
"EQTN",1.08
"ERAL1",1
"ERAP1",1.11
"ERAP2",1.06
"ERAS",1.15
"ERBB2",1.11
"ERBB3",1.13
"ERBB4",1.08
"ERBIN",1.21
"ERC1",1.14
"ERC2",1.06
"ERC2-IT1",1.06
"ERCC1",1.17
"ERCC2",1.1
"ERCC3",1.14
"ERCC4",1.04
"ERCC5",1.06
"ERCC6",1.14
"ERCC6L",1.15
"ERCC6L2",1.1
"ERCC8",1.09
"EREG",1.35
"ERF",1.13
"ERFE",1.13
"ERG",1.1
"ERGIC1",1.12
"ERGIC2",1.15
"ERGIC3",1.23
"ERH",1.08
"ERI1",1.16
"ERI2",1.12
"ERI3",1.08
"ERI3-IT1",1.08
"ERICH1",1.07
"ERICH1-AS1",1.05
"ERICH2",1.14
"ERICH3",1.07
"ERICH3-AS1",1.09
"ERICH4",1.1
"ERICH5",1.08
"ERICH6",1.11
"ERICH6-AS1",1.05
"ERICH6B",1.04
"ERLEC1",1.14
"ERLIN1",1.11
"ERLIN2",1.07
"ERMAP",1.11
"ERMARD",1.12
"ERMN",1.06
"ERMP1",1.25
"ERN1",1.08
"ERN2",1.11
"ERO1A",1.19
"ERO1B",1.08
"ERP27",1.13
"ERP29",1.52
"ERP44",1.11
"ERRFI1",1.88
"ERV3-1",1.1
"ERV3-1-ZNF117",1.13
"ERVFRD-1",1.11
"ERVH48-1",1.28
"ERVK13-1",1.21
"ERVK3-1",1.11
"ERVMER34-1",1.07
"ERVV-1",1
"ERVV-2",0.92
"ERVW-1",1.04
"ESAM",1.02
"ESCO1",1.17
"ESCO2",1.11
"ESD",1.11
"ESF1",1.11
"ESM1",1.1
"ESPL1",1.13
"ESPN",1.07
"ESPNL",1.03
"ESPNP",1.02
"ESR1",1.61
"ESR2",1.09
"ESRG",1.11
"ESRP1",1.29
"ESRP2",1.48
"ESRRA",1.23
"ESRRB",1.1
"ESRRG",1.08
"ESX1",1.2
"ESYT1",1.17
"ESYT2",1.12
"ESYT3",1.08
"ETAA1",1.08
"ETF1",1.3
"ETFA",1.27
"ETFB",1.12
"ETFBKMT",1.08
"ETFDH",1.08
"ETFRF1",1.11
"ETHE1",1.14
"ETNK1",1.21
"ETNK2",1.16
"ETNPPL",1.1
"ETS1",1.07
"ETS2",1.24
"ETV1",1.08
"ETV2",1.07
"ETV3",1.18
"ETV3L",1.1
"ETV4",1.14
"ETV5",1.1
"ETV6",1.1
"ETV7",1.09
"EVA1A",1.09
"EVA1B",0.98
"EVA1C",1.06
"EVADR",1.05
"EVC",1.04
"EVC2",1.06
"EVI2A",1.13
"EVI2B",1.13
"EVI5",1.09
"EVI5L",1.06
"EVL",1.14
"EVPL",1.1
"EVPLL",1.01
"EVX1",1.06
"EVX1-AS",1.03
"EVX2",1.07
"EWSAT1",1.18
"EWSR1",1.23
"EXD1",1.07
"EXD2",1.12
"EXD3",1.09
"EXO1",1.13
"EXO5",1.15
"EXOC1",1.08
"EXOC2",1.12
"EXOC3",1.06
"EXOC3-AS1",1.13
"EXOC3L1",1.07
"EXOC3L2",1.08
"EXOC3L4",1.04
"EXOC4",1.09
"EXOC5",1.15
"EXOC6",1.15
"EXOC6B",1.09
"EXOC7",1.15
"EXOC8",0.97
"EXOG",1.12
"EXOSC1",1.02
"EXOSC10",1.1
"EXOSC2",1.08
"EXOSC3",1.25
"EXOSC4",1.36
"EXOSC5",1.08
"EXOSC6",1.54
"EXOSC7",1.1
"EXOSC8",1.56
"EXOSC9",1.22
"EXPH5",1.13
"EXT1",1.12
"EXT2",1.09
"EXTL1",0.98
"EXTL2",1.06
"EXTL3",1.08
"EXTL3-AS1",1.04
"EYA1",1.09
"EYA2",1.03
"EYA3",1.15
"EYA4",1.06
"EYS",1.07
"EZH1",1.07
"EZH2",1.24
"EZR",1.32
"EZR-AS1",1.07
"F10",1.09
"F10-AS1",0.96
"F11",1.07
"F11-AS1",1.07
"F11R",1.18
"F12",1.06
"F13A1",1.07
"F13B",1.1
"F2",1.27
"F2R",1.09
"F2RL1",1.15
"F2RL2",1.09
"F2RL3",1.12
"F3",1.11
"F5",1.09
"F7",1.01
"F8",1.07
"F8A1",1.05
"F8A2",1.18
"F9",1.06
"FA2H",1.09
"FAAH",1.08
"FAAH2",1.05
"FAAHP1",0.98
"FAAP100",1.06
"FAAP20",1.12
"FAAP24",1.28
"FABP1",1.08
"FABP12",0.97
"FABP2",1.13
"FABP3",1.08
"FABP4",1.24
"FABP5",1.13
"FABP5P3",1.07
"FABP6",1.03
"FABP7",1.14
"FABP9",1.07
"FADD",1.2
"FADS1",1.28
"FADS2",1.08
"FADS3",0.98
"FADS6",1
"FAF1",1.15
"FAF2",1.23
"FAH",1.07
"FAHD1",1.12
"FAHD2A",1.13
"FAHD2B",1.03
"FAHD2CP",1.12
"FAIM",1.19
"FAIM2",1.05
"FALEC",1.33
"FAM102A",1.63
"FAM102B",1.15
"FAM103A1",1.09
"FAM104A",1.13
"FAM104B",1.11
"FAM105A",1.17
"FAM106A",1.13
"FAM106B",1.15
"FAM106CP",0.96
"FAM107A",1.05
"FAM107B",1.09
"FAM109A",1.11
"FAM109B",1.01
"FAM110A",1.08
"FAM110B",1.07
"FAM110C",1.11
"FAM110D",0.93
"FAM111A",1.07
"FAM111B",1.14
"FAM114A1",1.04
"FAM114A2",1.08
"FAM117A",1.08
"FAM117B",1.12
"FAM118A",1.1
"FAM118B",1.09
"FAM120A",1.2
"FAM120AOS",1.06
"FAM120B",1.09
"FAM120C",1.12
"FAM122A",1.08
"FAM122B",1.19
"FAM122C",1.06
"FAM124A",1.04
"FAM124B",1.02
"FAM126A",1.13
"FAM126B",1.09
"FAM127A",1.1
"FAM127B",1.11
"FAM127C",1.1
"FAM129A",1.12
"FAM129B",1.17
"FAM129C",1.06
"FAM131A",1.32
"FAM131B",1.14
"FAM131C",1.06
"FAM132A",1.1
"FAM133A",1.03
"FAM133B",1.24
"FAM133CP",1.07
"FAM133DP",1.12
"FAM134A",1.07
"FAM134B",1.11
"FAM134C",1.08
"FAM135A",1.08
"FAM135B",1.06
"FAM136A",1.09
"FAM138A",0.83
"FAM138B",0.68
"FAM138D",0.66
"FAM138E",0.74
"FAM13A",1.13
"FAM13A-AS1",1.07
"FAM13B",1.16
"FAM13C",1.05
"FAM149A",1.02
"FAM149B1",1.17
"FAM150A",1.07
"FAM150B",1.19
"FAM151A",1.13
"FAM151B",1.1
"FAM153A",1.04
"FAM153B",1.08
"FAM153C",1.09
"FAM155A",1.09
"FAM155A-IT1",1.1
"FAM155B",1.1
"FAM156A",1.11
"FAM156B",1.1
"FAM157A",1.13
"FAM157B",1.13
"FAM157C",1.11
"FAM159A",1.1
"FAM159B",1.06
"FAM160A1",1.1
"FAM160A2",1.11
"FAM160B1",1.15
"FAM160B2",1.11
"FAM161A",1.1
"FAM161B",1.22
"FAM162A",1.12
"FAM162B",1.08
"FAM163A",1.1
"FAM163B",0.98
"FAM166A",1.25
"FAM166B",1.12
"FAM167A",1.05
"FAM167A-AS1",1.1
"FAM167B",1.19
"FAM168A",1.12
"FAM168B",1.2
"FAM169A",1.11
"FAM169B",1.05
"FAM170A",1.04
"FAM170B",0.99
"FAM170B-AS1",1.04
"FAM171A1",1.09
"FAM171A2",0.99
"FAM171B",1.08
"FAM172A",1.08
"FAM172BP",1.13
"FAM173A",1.15
"FAM173B",1.11
"FAM174A",1.13
"FAM174B",1.32
"FAM175A",1.12
"FAM175B",1.05
"FAM177A1",1.11
"FAM177B",1.06
"FAM178B",1.08
"FAM180A",1.08
"FAM180B",0.98
"FAM181A",1.06
"FAM181A-AS1",1.03
"FAM181B",1.2
"FAM182A",1.06
"FAM182B",1.04
"FAM183A",1.02
"FAM183BP",0.88
"FAM183CP",1.02
"FAM184A",1.1
"FAM184B",1.08
"FAM185A",1.1
"FAM186A",1.09
"FAM186B",1.09
"FAM187B",0.98
"FAM188A",1.11
"FAM188B",1.04
"FAM189A1",1.06
"FAM189A2",1.13
"FAM189B",1.05
"FAM192A",1.12
"FAM193A",1.14
"FAM193B",1.13
"FAM196A",1.08
"FAM196B",1.06
"FAM198A",1.08
"FAM198B",1.16
"FAM199X",1.1
"FAM19A1",1.07
"FAM19A2",1.06
"FAM19A3",1.23
"FAM19A4",1.08
"FAM19A5",1.05
"FAM200A",1.07
"FAM200B",1.06
"FAM201A",1.01
"FAM201B",0.96
"FAM204A",1.12
"FAM205A",0.94
"FAM205BP",1
"FAM205C",0.96
"FAM206A",1.01
"FAM207A",1.14
"FAM208A",1.18
"FAM208B",1.16
"FAM209A",1.04
"FAM209B",1.03
"FAM20A",1.13
"FAM20B",1.22
"FAM20C",1.07
"FAM210A",1.12
"FAM210B",1.22
"FAM212A",1.06
"FAM212B",1.04
"FAM212B-AS1",1.08
"FAM213A",1.11
"FAM213B",1
"FAM214A",1.2
"FAM214B",1.01
"FAM215A",0.95
"FAM216A",1.32
"FAM216B",1.02
"FAM217A",1.14
"FAM217B",1.13
"FAM218A",0.97
"FAM219A",1.13
"FAM219B",1.24
"FAM21EP",1.1
"FAM220A",1.03
"FAM221A",1.08
"FAM221B",1
"FAM222A",1.04
"FAM222A-AS1",1.07
"FAM222B",1.22
"FAM223A",1.04
"FAM225A",0.98
"FAM225B",1.03
"FAM226A",0.94
"FAM227A",1.07
"FAM227B",1.07
"FAM228A",1.07
"FAM228B",1.04
"FAM229A",1.26
"FAM229B",1.06
"FAM230A",1.14
"FAM230B",1.14
"FAM230C",0
"FAM231A",1.13
"FAM231B",0.93
"FAM231C",1.03
"FAM231D",1.17
"FAM234A",1.11
"FAM234B",1.13
"FAM236A",1.13
"FAM24A",1.02
"FAM24B",1.07
"FAM24B-CUZD1",1.08
"FAM25A",0.99
"FAM25BP",1.06
"FAM25C",0.97
"FAM25G",0.97
"FAM26D",1.15
"FAM26E",1.15
"FAM26F",1.1
"FAM27B",0.88
"FAM27C",0.94
"FAM27E2",0.83
"FAM27E3",0.98
"FAM27E5",0.88
"FAM30A",1.16
"FAM30C",1.1
"FAM32A",1.26
"FAM35A",1.12
"FAM35BP",1.1
"FAM35DP",1.08
"FAM3A",1.01
"FAM3B",1.08
"FAM3C",1.13
"FAM3D",1.06
"FAM3D-AS1",1.04
"FAM41C",1.06
"FAM43A",1.18
"FAM43B",1.09
"FAM45A",1.16
"FAM45BP",1.32
"FAM46A",1.22
"FAM46B",1.34
"FAM46C",1.17
"FAM46D",1.05
"FAM47A",1.1
"FAM47B",0.89
"FAM47C",0.92
"FAM47E",1.11
"FAM47E-STBD1",1.08
"FAM49A",1.02
"FAM49B",1.29
"FAM50A",1.03
"FAM50B",1
"FAM53A",1.07
"FAM53B",1.12
"FAM53B-AS1",1.06
"FAM53C",1.19
"FAM57A",1.18
"FAM57B",0.94
"FAM58A",1.11
"FAM60A",1.35
"FAM63A",1.22
"FAM63B",1.13
"FAM64A",1.06
"FAM65A",1.16
"FAM65B",1.06
"FAM65C",1.09
"FAM66A",1.11
"FAM66B",1.12
"FAM66C",1.09
"FAM66D",1.09
"FAM66E",1.1
"FAM69A",1.17
"FAM69B",1.24
"FAM69C",1
"FAM71A",0.97
"FAM71B",1.07
"FAM71C",0.85
"FAM71D",1.13
"FAM71E1",0.99
"FAM71E2",1.09
"FAM71F1",1.01
"FAM71F2",1.06
"FAM72A",1.1
"FAM72B",1.12
"FAM72C",1.12
"FAM72D",1.11
"FAM74A1",1.06
"FAM74A3",1.02
"FAM74A4",1.05
"FAM74A7",0
"FAM76A",1.1
"FAM76B",1.11
"FAM78A",1.08
"FAM78B",1.07
"FAM81A",1.07
"FAM81B",1.08
"FAM83A",1.06
"FAM83A-AS1",1
"FAM83B",1.22
"FAM83C",1.08
"FAM83C-AS1",1.1
"FAM83D",1.18
"FAM83E",1.28
"FAM83F",1.07
"FAM83G",1.06
"FAM83H",1.19
"FAM83H-AS1",1.14
"FAM84A",1.04
"FAM84B",1.58
"FAM86B1",1.06
"FAM86B2",1.12
"FAM86B3P",1.09
"FAM86C1",1.09
"FAM86C2P",1.14
"FAM86DP",1.21
"FAM86EP",1.12
"FAM86FP",1.17
"FAM86HP",1.18
"FAM86JP",1.09
"FAM87A",1.13
"FAM87B",1.24
"FAM89A",1.07
"FAM89B",1.19
"FAM8A1",1.44
"FAM90A1",1
"FAM90A10P",1.04
"FAM90A25P",0.84
"FAM90A27P",1.03
"FAM90A2P",1
"FAM90A7P",1.09
"FAM91A1",1.15
"FAM92A",1.27
"FAM92A1P2",1.22
"FAM92B",1.08
"FAM95A",1.03
"FAM95B1",1.06
"FAM95C",1.03
"FAM96A",1.14
"FAM96B",0.97
"FAM98A",1.16
"FAM98B",1.17
"FAM98C",1.1
"FAM99A",1.19
"FAM99B",1.18
"FAM9A",1.04
"FAM9B",1.06
"FAM9C",1.03
"FAN1",1.02
"FANCA",1.31
"FANCB",1.1
"FANCC",1.12
"FANCD2",1.14
"FANCD2OS",1.13
"FANCE",1.16
"FANCF",1.18
"FANCG",1.07
"FANCI",1.26
"FANCL",1.16
"FANCM",1.12
"FANK1",1.1
"FANK1-AS1",0.88
"FAP",1.06
"FAR1",1.13
"FAR2",1.09
"FAR2P1",1.16
"FAR2P2",1.13
"FARP1",1.13
"FARP2",1.11
"FARS2",1.09
"FARSA",1.16
"FARSB",1.17
"FAS",1.06
"FAS-AS1",1.26
"FASLG",1.16
"FASN",1.27
"FASTK",1.27
"FASTKD1",1.1
"FASTKD2",1.11
"FASTKD3",1.13
"FASTKD5",1.14
"FAT1",1.16
"FAT2",1.06
"FAT3",1.04
"FAT4",1.1
"FATE1",0.94
"FAU",0.98
"FAXC",1.07
"FAXDC2",1.27
"FBF1",1.12
"FBL",1.12
"FBLIM1",1.1
"FBLL1",1.03
"FBLN1",1.04
"FBLN2",1.06
"FBLN5",1.07
"FBLN7",1.05
"FBN1",1.09
"FBN2",1.09
"FBN3",1.05
"FBP1",1.1
"FBP2",1.1
"FBRS",1.09
"FBRSL1",1.09
"FBXL12",1.16
"FBXL13",1.08
"FBXL14",1.2
"FBXL15",1.23
"FBXL16",1.04
"FBXL17",1.11
"FBXL18",1.12
"FBXL19",1.09
"FBXL19-AS1",1.13
"FBXL2",1.15
"FBXL20",1.13
"FBXL21",1.09
"FBXL22",1.11
"FBXL3",1.14
"FBXL4",1.1
"FBXL5",1.1
"FBXL6",0.82
"FBXL7",1.07
"FBXL8",1.13
"FBXO10",1.09
"FBXO11",1.22
"FBXO15",1.05
"FBXO16",1.05
"FBXO17",1.13
"FBXO18",1.1
"FBXO2",1.1
"FBXO21",1.09
"FBXO22",1.18
"FBXO22-AS1",0.85
"FBXO24",1.06
"FBXO25",1.07
"FBXO27",1.1
"FBXO28",1.2
"FBXO3",1.06
"FBXO3-AS1",1.16
"FBXO30",1.12
"FBXO31",1.09
"FBXO32",1.12
"FBXO33",1.12
"FBXO34",1.18
"FBXO36",1.14
"FBXO38",1.08
"FBXO39",1.13
"FBXO4",1.14
"FBXO40",1.06
"FBXO41",1.17
"FBXO42",1.18
"FBXO43",1.14
"FBXO44",1.04
"FBXO45",1.07
"FBXO46",1.17
"FBXO47",1.13
"FBXO48",1.07
"FBXO5",1.22
"FBXO6",1.1
"FBXO7",1.11
"FBXO8",1.07
"FBXO9",1.18
"FBXW10",1.06
"FBXW11",1.18
"FBXW12",1.11
"FBXW2",1.17
"FBXW4",1.12
"FBXW4P1",1.15
"FBXW5",1.19
"FBXW7",1.15
"FBXW7-AS1",1.05
"FBXW8",1.14
"FBXW9",1.33
"FCAMR",0.99
"FCAR",1.08
"FCER1A",0.97
"FCER1G",1.02
"FCER2",1.08
"FCF1",1.11
"FCF1P2",1.15
"FCGBP",1.03
"FCGR1A",1.04
"FCGR1B",1.12
"FCGR1CP",1.04
"FCGR2A",0.98
"FCGR2B",1.06
"FCGR2C",0.98
"FCGR3A",0.97
"FCGR3B",0.87
"FCGRT",1.05
"FCHO1",1.1
"FCHO2",1.12
"FCHSD1",1.12
"FCHSD2",1.12
"FCMR",1.21
"FCN1",1.01
"FCN2",0.99
"FCN3",1.06
"FCRL1",1.05
"FCRL2",1.02
"FCRL3",1.01
"FCRL4",1.13
"FCRL5",1.04
"FCRL6",1.08
"FCRLA",0.91
"FCRLB",1.23
"FDCSP",1.16
"FDFT1",1.11
"FDPS",1.3
"FDPSP2",1.1
"FDX1",1.16
"FDX1L",1.2
"FDXACB1",1.01
"FDXR",1
"FECH",1.05
"FEM1A",1.32
"FEM1B",1.22
"FEM1C",1.25
"FEN1",1.17
"FENDRR",1.13
"FER",1.09
"FER1L4",1.15
"FER1L5",1.05
"FER1L6",1.04
"FER1L6-AS1",1.01
"FER1L6-AS2",1.05
"FERD3L",1
"FERMT1",1.04
"FERMT2",1.12
"FERMT3",1.19
"FES",1.05
"FETUB",1.14
"FEV",1.2
"FEZ1",1.08
"FEZ2",1.24
"FEZF1",1.01
"FEZF1-AS1",1.15
"FEZF2",0.98
"FFAR1",1.04
"FFAR2",0.95
"FFAR3",1.04
"FFAR4",1.05
"FGA",0.95
"FGB",1.11
"FGD1",1.07
"FGD2",1.2
"FGD3",1.11
"FGD4",1.13
"FGD5",1.06
"FGD5-AS1",1.2
"FGD5P1",1.01
"FGD6",1.13
"FGF1",1.08
"FGF10",1.07
"FGF10-AS1",1.06
"FGF11",1.03
"FGF12",1.06
"FGF12-AS1",1.02
"FGF12-AS3",0.87
"FGF13",1.05
"FGF13-AS1",1.25
"FGF14",1.05
"FGF14-AS1",1.07
"FGF14-AS2",0.91
"FGF14-IT1",1.09
"FGF16",1.12
"FGF17",1.02
"FGF18",1.06
"FGF19",1.08
"FGF2",1.1
"FGF20",1.08
"FGF21",0.96
"FGF22",1.16
"FGF23",1.08
"FGF3",0.87
"FGF4",0.99
"FGF5",1.07
"FGF6",1.06
"FGF7",1.09
"FGF7P3",1.07
"FGF7P6",1.06
"FGF8",1.2
"FGF9",1.16
"FGFBP1",1.09
"FGFBP2",1.02
"FGFBP3",1.15
"FGFR1",1.07
"FGFR1OP",1.04
"FGFR1OP2",1.19
"FGFR2",1.09
"FGFR3",1.09
"FGFR4",1.06
"FGFRL1",1.03
"FGG",1.04
"FGGY",1.07
"FGL1",1.09
"FGL2",1.07
"FGR",1.11
"FH",1.1
"FHAD1",1.07
"FHDC1",1.12
"FHIT",1.06
"FHL1",1.15
"FHL2",1.38
"FHL3",0.98
"FHL5",1.14
"FHOD1",1.14
"FHOD3",1.07
"FIBCD1",1.08
"FIBIN",1.07
"FIBP",1.13
"FICD",1.36
"FIG4",1.08
"FIGLA",1.13
"FIGN",1.17
"FIGNL1",1.05
"FIGNL2",1.15
"FILIP1",1.09
"FILIP1L",1.14
"FIP1L1",1.19
"FIRRE",1.12
"FIS1",1.08
"FITM1",1.01
"FITM2",1.11
"FIZ1",1
"FJX1",1.34
"FKBP10",1.12
"FKBP11",1.33
"FKBP14",1.15
"FKBP15",1.09
"FKBP1A",1.16
"FKBP1A-SDCBP2",1.14
"FKBP1AP1",1
"FKBP1B",0.98
"FKBP2",1.17
"FKBP3",1.2
"FKBP4",1.39
"FKBP5",1.18
"FKBP6",1.05
"FKBP7",1.17
"FKBP8",1.05
"FKBP9",1.2
"FKBP9P1",1.11
"FKBPL",1.01
"FKRP",1.1
"FKSG29",0.73
"FKTN",1.05
"FLAD1",1.3
"FLCN",1.1
"FLG",1.13
"FLG-AS1",1.07
"FLG2",1
"FLI1",1.06
"FLII",1.02
"FLJ10038",1.47
"FLJ12825",1.11
"FLJ13224",1.7
"FLJ16779",1.05
"FLJ20021",1.31
"FLJ21408",1.09
"FLJ22447",1.06
"FLJ22763",1.02
"FLJ23867",1.08
"FLJ25758",0.98
"FLJ27354",1.05
"FLJ30679",0.86
"FLJ31104",1.14
"FLJ31356",1.38
"FLJ32255",1.06
"FLJ33534",1.07
"FLJ34503",1.07
"FLJ36000",1
"FLJ36777",0.94
"FLJ37035",1.1
"FLJ37201",1.01
"FLJ37453",1.32
"FLJ37505",1.07
"FLJ38576",0.94
"FLJ40194",1.1
"FLJ40288",1.07
"FLJ41200",1.09
"FLJ41278",1.07
"FLJ42102",1.06
"FLJ42351",1.02
"FLJ42393",1
"FLJ42627",1.38
"FLJ42969",1.04
"FLJ43315",1.07
"FLJ44635",1.08
"FLJ45513",1.24
"FLJ46284",1.09
"FLJ46906",1.23
"FLNA",1.46
"FLNB",1.21
"FLNB-AS1",1.08
"FLNC",1.02
"FLOT1",2.94
"FLOT2",0.99
"FLRT1",1.05
"FLRT2",1.07
"FLRT3",1.04
"FLT1",1.07
"FLT3",1.08
"FLT3LG",1.05
"FLT4",1.05
"FLVCR1",1.13
"FLVCR1-AS1",1.48
"FLVCR2",1.06
"FLYWCH1",1.08
"FLYWCH2",1.12
"FMC1",1.12
"FMN1",1.12
"FMN2",1.09
"FMNL1",1.02
"FMNL2",1.11
"FMNL3",1.09
"FMO1",1.15
"FMO2",1.06
"FMO3",1.03
"FMO4",1.09
"FMO5",1.12
"FMO6P",1.09
"FMO9P",1.09
"FMOD",1.01
"FMR1",1.18
"FMR1-AS1",0.94
"FMR1NB",1.05
"FN1",1.14
"FN3K",1.05
"FN3KRP",1.11
"FNBP1",1.16
"FNBP1L",1.13
"FNBP4",1.31
"FNDC1",1.07
"FNDC10",0.94
"FNDC11",0.93
"FNDC3A",1.07
"FNDC3B",1.19
"FNDC4",1.15
"FNDC5",1.14
"FNDC7",1.13
"FNDC8",1.26
"FNDC9",0.96
"FNIP1",1.12
"FNIP2",1.14
"FNTA",1.06
"FNTB",1.09
"FOCAD",1.09
"FOCAD-AS1",1.44
"FOLH1",1.08
"FOLH1B",1.08
"FOLR1",1.15
"FOLR2",1.07
"FOLR3",1.1
"FOPNL",1.12
"FOS",3.56
"FOSB",1.43
"FOSL1",1.34
"FOSL2",1.85
"FOXA1",2.32
"FOXA2",1.1
"FOXA3",0.95
"FOXB1",0.98
"FOXB2",0.93
"FOXC1",1.35
"FOXC2",0.99
"FOXC2-AS1",1.22
"FOXCUT",1.07
"FOXD1",1
"FOXD2",1.02
"FOXD2-AS1",1
"FOXD3",0.97
"FOXD3-AS1",1.28
"FOXD4",1.27
"FOXD4L1",1.28
"FOXD4L3",1.32
"FOXD4L4",1.28
"FOXD4L5",1.33
"FOXD4L6",1.39
"FOXE1",0.98
"FOXE3",1.04
"FOXF1",1.15
"FOXF2",1.11
"FOXG1",1.13
"FOXG1-AS1",1.08
"FOXH1",1.15
"FOXI1",1.07
"FOXI2",0.97
"FOXI3",1.11
"FOXJ1",1.01
"FOXJ2",1.02
"FOXJ3",1.19
"FOXK1",1.15
"FOXK2",1.22
"FOXL1",1.18
"FOXL2",1.14
"FOXL2NB",1.21
"FOXM1",1.2
"FOXN1",1.09
"FOXN2",1.17
"FOXN3",1.09
"FOXN3-AS1",1.1
