"gene","top1cc_density"
"EFCAB12",1.21
"EFCAB13",1.2
"EFCAB14",1.16
"EFCAB14-AS1",1.16
"EFCAB2",1.18
"EFCAB3",1.31
"EFCAB5",1.13
"EFCAB6",1.16
"EFCAB6-AS1",1.2
"EFCAB7",1.15
"EFCAB9",1.24
"EFCC1",1.31
"EFEMP1",1.13
"EFEMP2",1.32
"EFHB",1.18
"EFHC1",1.19
"EFHC2",1.09
"EFHD1",1.25
"EFHD2",1.16
"EFL1",1.23
"EFNA1",1.24
"EFNA2",1.14
"EFNA3",1.16
"EFNA4",1.21
"EFNA5",1.15
"EFNB1",1.15
"EFNB2",1.12
"EFNB3",1.09
"EFR3A",1.14
"EFR3B",1.22
"EFS",1.37
"EFTUD1P1",1.19
"EFTUD2",1.13
"EGF",1.15
"EGFEM1P",1.25
"EGFL6",1.13
"EGFL7",1.12
"EGFL8",1.19
"EGFLAM",1.17
"EGFLAM-AS2",1.05
"EGFLAM-AS4",1.21
"EGFR",1.22
"EGFR-AS1",1.26
"EGLN1",1.14
"EGLN2",1.19
"EGLN3",1.21
"EGOT",1.24
"EGR1",3.75
"EGR2",1.23
"EGR3",1.74
"EGR4",1.28
"EHBP1",1.14
"EHBP1L1",1.28
"EHD1",1.3
"EHD2",1.23
"EHD3",1.27
"EHD4",1.13
"EHD4-AS1",1.19
"EHF",1.2
"EHHADH",1.24
"EHHADH-AS1",1.19
"EHMT1",1.17
"EHMT1-IT1",1.17
"EHMT2",1.17
"EI24",1.09
"EID1",0.98
"EID2",1.21
"EID2B",1.33
"EID3",1.45
"EIF1",1.47
"EIF1AD",1.25
"EIF1AX",1.15
"EIF1AX-AS1",1.09
"EIF1B",1.24
"EIF1B-AS1",1.15
"EIF2A",1.28
"EIF2AK1",1.27
"EIF2AK2",1.16
"EIF2AK3",1.19
"EIF2AK4",1.16
"EIF2B1",1.23
"EIF2B2",1.29
"EIF2B3",1.2
"EIF2B4",1.55
"EIF2B5",1.38
"EIF2D",1.32
"EIF2S1",1.21
"EIF2S2",1.3
"EIF2S3",1.2
"EIF3A",1.27
"EIF3B",1.34
"EIF3C",1.43
"EIF3CL",1.5
"EIF3D",1.32
"EIF3E",1.22
"EIF3F",1.12
"EIF3G",1.4
"EIF3H",1.19
"EIF3I",1.28
"EIF3IP1",1.32
"EIF3J",1.14
"EIF3J-AS1",1.24
"EIF3K",1.23
"EIF3L",1.26
"EIF3M",1.18
"EIF4A1",1.3
"EIF4A2",1.44
"EIF4A3",1.21
"EIF4B",1.41
"EIF4E",1.21
"EIF4E1B",1.3
"EIF4E2",1.22
"EIF4E3",1.15
"EIF4EBP1",1.16
"EIF4EBP2",1.18
"EIF4EBP3",1.25
"EIF4ENIF1",1.2
"EIF4G1",1.38
"EIF4G2",1.19
"EIF4G3",1.19
"EIF4H",1.25
"EIF5",1.36
"EIF5A",1.17
"EIF5A2",1.34
"EIF5AL1",1.15
"EIF5B",1.17
"EIF6",1.33
"ELAC1",1.06
"ELAC2",1.23
"ELANE",1.12
"ELAVL1",1.14
"ELAVL2",1.11
"ELAVL3",1.23
"ELAVL4",1.13
"ELDR",1.28
"ELF1",1.19
"ELF2",1.19
"ELF3",1.57
"ELF4",1.22
"ELF5",1.19
"ELFN1",1.28
"ELFN1-AS1",1.28
"ELFN2",1.28
"ELK1",1.15
"ELK2AP",1.29
"ELK3",1.24
"ELK4",1.29
"ELL",1.22
"ELL2",1.14
"ELL3",1.29
"ELMO1",1.19
"ELMO1-AS1",1.19
"ELMO2",1.22
"ELMO3",1.35
"ELMOD1",1.11
"ELMOD2",1.13
"ELMOD3",1.21
"ELMSAN1",1.38
"ELN",1.2
"ELOA",1.15
"ELOA-AS1",1.19
"ELOA2",1.15
"ELOA3B",1.18
"ELOA3D",1.4
"ELOB",1.4
"ELOC",1.16
"ELOF1",1.27
"ELOVL1",1.16
"ELOVL2",1.19
"ELOVL2-AS1",1.16
"ELOVL3",1.34
"ELOVL4",1.11
"ELOVL5",1.18
"ELOVL6",1.17
"ELOVL7",1.17
"ELP2",1.2
"ELP3",1.11
"ELP4",1.13
"ELP5",1.32
"ELP6",1.2
"ELSPBP1",1.17
"EMB",1.15
"EMBP1",1.2
"EMC1",1.23
"EMC10",1.16
"EMC2",1.18
"EMC3",1.36
"EMC3-AS1",1.33
"EMC4",1.16
"EMC6",1.11
"EMC7",1.1
"EMC8",1.44
"EMC9",1.34
"EMCN",1.19
"EMD",1.5
"EME1",1.18
"EME2",1.43
"EMG1",1.25
"EMID1",1.16
"EMILIN1",1.27
"EMILIN2",1.2
"EMILIN3",1.53
"EML1",1.24
"EML2",1.24
"EML2-AS1",0.87
"EML3",1.19
"EML4",1.16
"EML5",1.16
"EML6",1.18
"EMP1",1.17
"EMP2",1.37
"EMP3",1.13
"EMSY",1.23
"EMX1",1.24
"EMX2",1.2
"EMX2OS",1.18
"EN1",1.04
"EN2",1.27
"ENAH",1.18
"ENAM",1.11
"ENC1",1.13
"ENDOD1",1.11
"ENDOG",1.36
"ENDOU",1.28
"ENDOV",1.2
"ENG",1.2
"ENGASE",1.29
"ENHO",1.11
"ENKD1",1.11
"ENKUR",1.18
"ENO1",1.34
"ENO1-AS1",1.29
"ENO2",1.2
"ENO3",1.2
"ENO4",1.2
"ENOPH1",1.19
"ENOSF1",1.24
"ENOX1",1.15
"ENOX1-AS2",1.08
"ENOX2",1.15
"ENPEP",1.14
"ENPP1",1.15
"ENPP2",1.15
"ENPP3",1.18
"ENPP4",1.08
"ENPP5",1.12
"ENPP6",1.15
"ENPP7",1.14
"ENPP7P13",1.19
"ENSA",1.58
"ENTHD1",1.13
"ENTPD1",1.16
"ENTPD1-AS1",1.16
"ENTPD2",1.08
"ENTPD3",1.2
"ENTPD3-AS1",1.18
"ENTPD4",1.15
"ENTPD5",1.25
"ENTPD6",1.31
"ENTPD7",1.19
"ENTPD8",1.24
"ENY2",1.45
"EOGT",1.19
"EOMES",1.28
"EP300",1.21
"EP300-AS1",1.18
"EP400",1.24
"EP400NL",1.22
"EPAS1",1.19
"EPB41",1.18
"EPB41L1",1.22
"EPB41L2",1.14
"EPB41L3",1.12
"EPB41L4A",1.16
"EPB41L4A-AS1",1.2
"EPB41L4A-AS2",1.15
"EPB41L4B",1.24
"EPB41L5",1.19
"EPB42",1.16
"EPC1",1.25
"EPC2",1.15
"EPCAM",1.2
"EPDR1",1.12
"EPG5",1.13
"EPGN",1.2
"EPHA1",1.25
"EPHA1-AS1",1.15
"EPHA10",1.19
"EPHA2",1.18
"EPHA3",1.13
"EPHA4",1.21
"EPHA5",1.06
"EPHA5-AS1",1.06
"EPHA6",1.15
"EPHA7",1.11
"EPHA8",1.19
"EPHB1",1.22
"EPHB2",1.19
"EPHB3",1.32
"EPHB4",1.39
"EPHB6",1.12
"EPHX1",1.31
"EPHX2",1.1
"EPHX3",1.16
"EPHX4",1.12
"EPM2A",1.15
"EPM2AIP1",1.12
"EPN1",1.17
"EPN2",1.22
"EPN2-AS1",1.25
"EPN2-IT1",1.16
"EPN3",1.1
"EPO",1.14
"EPOP",1.11
"EPOR",1.16
"EPPIN",1.19
"EPPIN-WFDC6",1.21
"EPPK1",1.39
"EPRS",1.16
"EPS15",1.2
"EPS15L1",1.27
"EPS8",1.11
"EPS8L1",1.14
"EPS8L2",1.18
"EPS8L3",1.33
"EPSTI1",1.15
"EPX",1.36
"EPYC",1.14
"EQTN",1.02
"ERAL1",1.2
"ERAP1",1.17
"ERAP2",1.19
"ERAS",1.04
"ERBB2",1.14
"ERBB3",1.2
"ERBB4",1.11
"ERBIN",1.17
"ERC1",1.16
"ERC2",1.11
"ERC2-IT1",1.06
"ERCC1",1.24
"ERCC2",1.23
"ERCC3",1.2
"ERCC4",1.15
"ERCC5",1.09
"ERCC6",1.16
"ERCC6L",1.12
"ERCC6L2",1.16
"ERCC8",1.17
"EREG",1.15
"ERF",1.29
"ERFE",1.32
"ERG",1.29
"ERGIC1",1.27
"ERGIC2",1.13
"ERGIC3",1.21
"ERH",1.24
"ERI1",1.13
"ERI2",1.26
"ERI3",1.19
"ERI3-IT1",1.19
"ERICH1",1.12
"ERICH1-AS1",1.11
"ERICH2",1.19
"ERICH3",1.11
"ERICH3-AS1",1.1
"ERICH4",1.28
"ERICH5",1.13
"ERICH6",1.27
"ERICH6-AS1",1.2
"ERICH6B",1.17
"ERLEC1",1.14
"ERLIN1",1.16
"ERLIN2",1.14
"ERMAP",1.18
"ERMARD",1.12
"ERMN",1.16
"ERMP1",1.11
"ERN1",1.22
"ERN2",1.34
"ERO1A",1.23
"ERO1B",1.15
"ERP27",1.12
"ERP29",1.2
"ERP44",1.2
"ERRFI1",1.22
"ERV3-1",1.22
"ERV3-1-ZNF117",1.2
"ERVFRD-1",1.22
"ERVH48-1",1.3
"ERVK13-1",1.27
"ERVK3-1",1.21
"ERVMER34-1",1.11
"ERVV-1",1.11
"ERVV-2",1.11
"ERVW-1",1.28
"ESAM",1.17
"ESCO1",1.21
"ESCO2",1.07
"ESD",1.15
"ESF1",1.2
"ESM1",1.16
"ESPL1",1.29
"ESPN",1.15
"ESPNL",1.26
"ESPNP",1.33
"ESR1",1.29
"ESR2",1.25
"ESRG",1.16
"ESRP1",1.24
"ESRP2",1.55
"ESRRA",1.35
"ESRRB",1.26
"ESRRG",1.23
"ESX1",1.14
"ESYT1",1.26
"ESYT2",1.29
"ESYT3",1.23
"ETAA1",1.08
"ETF1",1.31
"ETFA",1.24
"ETFB",1.12
"ETFBKMT",1.16
"ETFDH",1.19
"ETFRF1",1.18
"ETHE1",1.23
"ETNK1",1.12
"ETNK2",1.4
"ETNPPL",1.15
"ETS1",1.09
"ETS2",1.41
"ETV1",1.11
"ETV2",1.28
"ETV3",1.28
"ETV3L",1.15
"ETV4",1.18
"ETV5",1.23
"ETV6",1.17
"ETV7",1.31
"EVA1A",1.17
"EVA1B",1.41
"EVA1C",1.21
"EVADR",1.08
"EVC",1.14
"EVC2",1.1
"EVI2A",1.1
"EVI2B",1.1
"EVI5",1.11
"EVI5L",1.16
"EVL",1.25
"EVPL",1.25
"EVPLL",1.24
"EVX1",1.25
"EVX1-AS",1.23
"EVX2",1.08
"EWSAT1",1.22
"EWSR1",1.2
"EXD1",1.18
"EXD2",1.21
"EXD3",1.16
"EXO1",1.23
"EXO5",1.14
"EXOC1",1.08
"EXOC2",1.18
"EXOC3",1.18
"EXOC3-AS1",1.2
"EXOC3L1",1.39
"EXOC3L2",1.22
"EXOC3L4",1.29
"EXOC4",1.15
"EXOC5",1.2
"EXOC6",1.16
"EXOC6B",1.15
"EXOC7",1.27
"EXOC8",1.17
"EXOG",1.16
"EXOSC1",1.19
"EXOSC10",1.18
"EXOSC2",1.2
"EXOSC3",1.15
"EXOSC4",1.19
"EXOSC5",1.23
"EXOSC6",1.47
"EXOSC7",1.24
"EXOSC8",1.18
"EXOSC9",1.18
"EXPH5",1.11
"EXT1",1.19
"EXT2",1.11
"EXTL1",1.21
"EXTL2",1.08
"EXTL3",1.15
"EXTL3-AS1",1.24
"EYA1",1.13
"EYA2",1.35
"EYA3",1.2
"EYA4",1.14
"EYS",1.12
"EZH1",1.12
"EZH2",1.18
"EZR",1.22
"EZR-AS1",1.18
"F10",1.13
"F10-AS1",1.05
"F11",1.12
"F11-AS1",1.11
"F11R",1.19
"F12",1.23
"F13A1",1.18
"F13B",1.19
"F2",1.33
"F2R",1.13
"F2RL1",1.19
"F2RL2",1.19
"F2RL3",1.18
"F3",1.19
"F5",1.26
"F7",1.17
"F8",1.14
"F8A1",1.54
"F8A2",1.56
"F9",1.12
"FA2H",1.45
"FAAH",1.2
"FAAH2",1.1
"FAAHP1",1.23
"FAAP100",1.35
"FAAP20",1.16
"FAAP24",1.46
"FABP1",1.18
"FABP12",1.13
"FABP2",1.14
"FABP3",1.29
"FABP4",1.21
"FABP5",1.22
"FABP5P3",1.17
"FABP6",1.18
"FABP7",1.17
"FABP9",1.22
"FADD",1.25
"FADS1",1.34
"FADS2",1.25
"FADS3",1.29
"FADS6",1.23
"FAF1",1.15
"FAF2",1.27
"FAH",1.23
"FAHD1",1.24
"FAHD2A",1.19
"FAHD2B",1.29
"FAHD2CP",1.35
"FAIM",1.19
"FAIM2",1.3
"FALEC",1.56
"FAM102A",1.47
"FAM102B",1.23
"FAM103A1",1.27
"FAM104A",1.23
"FAM104B",1.11
"FAM105A",1.23
"FAM106A",1.1
"FAM106B",1.28
"FAM106CP",1.06
"FAM107A",1.12
"FAM107B",1.23
"FAM109A",1.28
"FAM109B",1.18
"FAM110A",1.23
"FAM110B",1.14
"FAM110C",1.19
"FAM110D",1.21
"FAM111A",1.1
"FAM111B",1.09
"FAM114A1",1.12
"FAM114A2",1.13
"FAM117A",1.23
"FAM117B",1.18
"FAM118A",1.23
"FAM118B",1.14
"FAM120A",1.29
"FAM120AOS",1.22
"FAM120B",1.13
"FAM120C",1.18
"FAM122A",1.2
"FAM122B",1.14
"FAM122C",1.16
"FAM124A",1.12
"FAM124B",1.17
"FAM126A",1.13
"FAM126B",1.16
"FAM127A",1.2
"FAM127B",1.44
"FAM127C",1.06
"FAM129A",1.27
"FAM129B",1.27
"FAM129C",1.19
"FAM131A",1.46
"FAM131B",1.18
"FAM131C",1.19
"FAM132A",1.06
"FAM133A",1.12
"FAM133B",1.25
"FAM133CP",1.08
"FAM133DP",1.21
"FAM134A",1.28
"FAM134B",1.21
"FAM134C",1.16
"FAM135A",1.12
"FAM135B",1.15
"FAM136A",1.2
"FAM138A",1.85
"FAM138B",1.51
"FAM138D",1.16
"FAM138E",1.68
"FAM13A",1.16
"FAM13A-AS1",1.15
"FAM13B",1.19
"FAM13C",1.15
"FAM149A",1.12
"FAM149B1",1.15
"FAM150A",1.15
"FAM150B",1.31
"FAM151A",1.22
"FAM151B",1.19
"FAM153A",1.46
"FAM153B",1.42
"FAM153C",1.47
"FAM155A",1.09
"FAM155A-IT1",1.1
"FAM155B",1.11
"FAM156A",1.23
"FAM156B",1.32
"FAM157A",1.52
"FAM157B",1.55
"FAM157C",1.51
"FAM159A",1.16
"FAM159B",1.19
"FAM160A1",1.18
"FAM160A2",1.14
"FAM160B1",1.19
"FAM160B2",1.14
"FAM161A",1.18
"FAM161B",1.34
"FAM162A",1.27
"FAM162B",1.11
"FAM163A",1.27
"FAM163B",1.02
"FAM166A",1.33
"FAM166B",1.12
"FAM167A",1.15
"FAM167A-AS1",1.13
"FAM167B",1.29
"FAM168A",1.24
"FAM168B",1.24
"FAM169A",1.16
"FAM169B",1.22
"FAM170A",1.19
"FAM170B",1.11
"FAM170B-AS1",1.2
"FAM171A1",1.23
"FAM171A2",1.07
"FAM171B",1.15
"FAM172A",1.12
"FAM172BP",1.21
"FAM173A",0.93
"FAM173B",1.26
"FAM174A",1.14
"FAM174B",1.26
"FAM175A",1.21
"FAM175B",1.18
"FAM177A1",1.25
"FAM177B",1.15
"FAM178B",1.38
"FAM180A",1.22
"FAM180B",1.27
"FAM181A",1.3
"FAM181A-AS1",1.3
"FAM181B",1.4
"FAM182A",1.34
"FAM182B",1.39
"FAM183A",1.17
"FAM183BP",1.23
"FAM183CP",1.11
"FAM184A",1.16
"FAM184B",1.15
"FAM185A",1.25
"FAM186A",1.21
"FAM186B",1.25
"FAM187B",1.21
"FAM188A",1.19
"FAM188B",1.18
"FAM189A1",1.1
"FAM189A2",1.12
"FAM189B",1.25
"FAM192A",1.13
"FAM193A",1.14
"FAM193B",1.32
"FAM196A",1.18
"FAM196B",1.22
"FAM198A",1.18
"FAM198B",1.17
"FAM199X",1.15
"FAM19A1",1.13
"FAM19A2",1.15
"FAM19A3",1.16
"FAM19A4",1.16
"FAM19A5",1.2
"FAM200A",1.11
"FAM200B",1.11
"FAM201A",1.22
"FAM201B",1.37
"FAM204A",1.13
"FAM205A",1.19
"FAM205BP",1.19
"FAM205C",1.12
"FAM206A",1.11
"FAM207A",1.37
"FAM208A",1.13
"FAM208B",1.23
"FAM209A",1.45
"FAM209B",1.34
"FAM20A",1.23
"FAM20B",1.28
"FAM20C",1.25
"FAM210A",1.19
"FAM210B",1.47
"FAM212A",1.13
"FAM212B",1.21
"FAM212B-AS1",1.2
"FAM213A",1.13
"FAM213B",1.1
"FAM214A",1.36
"FAM214B",1.16
"FAM215A",0.94
"FAM216A",1.21
"FAM216B",1.14
"FAM217A",1.2
"FAM217B",1.25
"FAM218A",1.25
"FAM219A",1.15
"FAM219B",1.37
"FAM21EP",1.18
"FAM220A",1.21
"FAM221A",1.17
"FAM221B",1.19
"FAM222A",1.3
"FAM222A-AS1",1.27
"FAM222B",1.27
"FAM223A",1.38
"FAM225A",1.32
"FAM225B",1.28
"FAM226A",1.42
"FAM227A",1.19
"FAM227B",1.25
"FAM228A",1.17
"FAM228B",1.2
"FAM229A",1.23
"FAM229B",1.13
"FAM230A",1.33
"FAM230B",1.24
"FAM230C",1.3
"FAM231A",1.93
"FAM231B",1.35
"FAM231C",1.73
"FAM231D",1.67
"FAM234A",1.26
"FAM234B",1.17
"FAM236A",0.95
"FAM24A",1.06
"FAM24B",1.21
"FAM24B-CUZD1",1.18
"FAM25A",1.32
"FAM25BP",1.26
"FAM25C",1.24
"FAM25G",1.24
"FAM26D",1.14
"FAM26E",1.2
"FAM26F",1.21
"FAM27B",1.11
"FAM27C",1.16
"FAM27E2",1.25
"FAM27E3",1.51
"FAM27E5",1.15
"FAM30A",1.1
"FAM30C",1.33
"FAM32A",1.26
"FAM35A",1.24
"FAM35BP",1.27
"FAM35DP",1.25
"FAM3A",1.1
"FAM3B",1.34
"FAM3C",1.17
"FAM3D",1.1
"FAM3D-AS1",1.15
"FAM41C",1.15
"FAM43A",1.33
"FAM43B",1.11
"FAM45A",1.23
"FAM45BP",1.3
"FAM46A",1.15
"FAM46B",1.27
"FAM46C",1.28
"FAM46D",1.13
"FAM47A",1.14
"FAM47B",1.07
"FAM47C",1.12
"FAM47E",1.14
"FAM47E-STBD1",1.18
"FAM49A",1.23
"FAM49B",1.18
"FAM50A",1.16
"FAM50B",0.99
"FAM53A",1.18
"FAM53B",1.22
"FAM53B-AS1",1.26
"FAM53C",1.18
"FAM57A",1.17
"FAM57B",1.27
"FAM58A",1.18
"FAM60A",1.22
"FAM63A",1.56
"FAM63B",1.13
"FAM64A",1.09
"FAM65A",1.27
"FAM65B",1.2
"FAM65C",1.6
"FAM66A",1.14
"FAM66B",1.16
"FAM66C",1.17
"FAM66D",1.17
"FAM66E",1.1
"FAM69A",1.12
"FAM69B",1.23
"FAM69C",1.07
"FAM71A",1.09
"FAM71B",1.22
"FAM71C",1.18
"FAM71D",1.2
"FAM71E1",1.19
"FAM71E2",1.21
"FAM71F1",1.16
"FAM71F2",1.23
"FAM72A",1.55
"FAM72B",1.36
"FAM72C",1.49
"FAM72D",1.49
"FAM74A1",1.21
"FAM74A3",1.24
"FAM74A4",1.2
"FAM74A7",1.18
"FAM76A",1.2
"FAM76B",1.09
"FAM78A",1.32
"FAM78B",1.16
"FAM81A",1.13
"FAM81B",1.16
"FAM83A",1.67
"FAM83A-AS1",2.08
"FAM83B",1.16
"FAM83C",1.19
"FAM83C-AS1",1.42
"FAM83D",1.22
"FAM83E",1.22
"FAM83F",1.2
"FAM83G",1.3
"FAM83H",1.32
"FAM83H-AS1",1.28
"FAM84A",1.25
"FAM84B",1.74
"FAM86B1",1.19
"FAM86B2",1.17
"FAM86B3P",1.15
"FAM86C1",1.24
"FAM86C2P",1.32
"FAM86DP",1.2
"FAM86EP",1.17
"FAM86FP",1.28
"FAM86HP",1.28
"FAM86JP",1.22
"FAM87A",1.15
"FAM87B",1.32
"FAM89A",1.25
"FAM89B",1.37
"FAM8A1",1.22
"FAM90A1",1.2
"FAM90A10P",1.17
"FAM90A25P",1.29
"FAM90A27P",1.2
"FAM90A2P",1.21
"FAM90A7P",1.22
"FAM91A1",1.4
"FAM92A",1.16
"FAM92A1P2",1.11
"FAM92B",1.42
"FAM95A",1.13
"FAM95B1",1.24
"FAM95C",1.23
"FAM96A",1.15
"FAM96B",1.22
"FAM98A",1.2
"FAM98B",1.12
"FAM98C",1.24
"FAM99A",1.12
"FAM99B",1.09
"FAM9A",1.09
"FAM9B",1.14
"FAM9C",1.14
"FAN1",1.09
"FANCA",1.49
"FANCB",1.09
"FANCC",1.18
"FANCD2",1.33
"FANCD2OS",1.36
"FANCE",1.26
"FANCF",1.26
"FANCG",1.17
"FANCI",1.26
"FANCL",1.13
"FANCM",1.24
"FANK1",1.21
"FANK1-AS1",1.32
"FAP",1.13
"FAR1",1.13
"FAR2",1.15
"FAR2P1",1.21
"FAR2P2",1.09
"FARP1",1.14
"FARP2",1.26
"FARS2",1.15
"FARSA",1.21
"FARSB",1.21
"FAS",1.18
"FAS-AS1",1.27
"FASLG",1.3
"FASN",1.37
"FASTK",1.4
"FASTKD1",1.15
"FASTKD2",1.15
"FASTKD3",1.12
"FASTKD5",1.17
"FAT1",1.14
"FAT2",1.17
"FAT3",1.09
"FAT4",1.13
"FATE1",1.12
"FAU",1.5
"FAXC",1.14
"FAXDC2",1.23
"FBF1",1.23
"FBL",1.2
"FBLIM1",1.2
"FBLL1",1.25
"FBLN1",1.2
"FBLN2",1.33
"FBLN5",1.23
"FBLN7",1.19
"FBN1",1.1
"FBN2",1.13
"FBN3",1.13
"FBP1",1.24
"FBP2",1.2
"FBRS",1.27
"FBRSL1",1.35
"FBXL12",1.16
"FBXL13",1.25
"FBXL14",1.2
"FBXL15",1.48
"FBXL16",1.24
"FBXL17",1.13
"FBXL18",1.28
"FBXL19",1.19
"FBXL19-AS1",1.23
"FBXL2",1.17
"FBXL20",1.12
"FBXL21",1.09
"FBXL22",1.17
"FBXL3",1.12
"FBXL4",1.16
"FBXL5",1.09
"FBXL6",1.1
"FBXL7",1.16
"FBXL8",1.22
"FBXO10",1.15
"FBXO11",1.18
"FBXO15",1.05
"FBXO16",1.14
"FBXO17",1.21
"FBXO18",1.26
"FBXO2",1.17
"FBXO21",1.23
"FBXO22",1.2
"FBXO22-AS1",1.18
"FBXO24",1.19
"FBXO25",1.13
"FBXO27",1.22
"FBXO28",1.14
"FBXO3",1.11
"FBXO3-AS1",1.46
"FBXO30",1.13
"FBXO31",1.37
"FBXO32",1.65
"FBXO33",1.22
"FBXO34",1.27
"FBXO36",1.25
"FBXO38",1.14
"FBXO39",1.11
"FBXO4",1.1
"FBXO40",1.25
"FBXO41",1.28
"FBXO42",1.16
"FBXO43",1.11
"FBXO44",1.15
"FBXO45",1.36
"FBXO46",1.26
"FBXO47",1.1
"FBXO48",1.05
"FBXO5",1.15
"FBXO6",1.2
"FBXO7",1.17
"FBXO8",1.11
"FBXO9",1.16
"FBXW10",1.22
"FBXW11",1.23
"FBXW12",1.1
"FBXW2",1.16
"FBXW4",1.16
"FBXW4P1",1.34
"FBXW5",1.21
"FBXW7",1.13
"FBXW7-AS1",1.3
"FBXW8",1.2
"FBXW9",1.27
"FCAMR",1.38
"FCAR",1.07
"FCER1A",1.15
"FCER1G",1.06
"FCER2",1.14
"FCF1",1.25
"FCF1P2",1.36
"FCGBP",1.26
"FCGR1A",1.28
"FCGR1B",1.25
"FCGR1CP",1.35
"FCGR2A",1.21
"FCGR2B",1.15
"FCGR2C",1.11
"FCGR3A",1.23
"FCGR3B",1.13
"FCGRT",1.25
"FCHO1",1.16
"FCHO2",1.16
"FCHSD1",1.26
"FCHSD2",1.21
"FCMR",1.31
"FCN1",1.19
"FCN2",1.21
"FCN3",1.23
"FCRL1",1.13
"FCRL2",1.18
"FCRL3",1.22
"FCRL4",1.2
"FCRL5",1.18
"FCRL6",1.18
"FCRLA",1.12
"FCRLB",1.2
"FDCSP",1.06
"FDFT1",1.18
"FDPS",1.36
"FDPSP2",1.22
"FDX1",1.1
"FDX1L",1.15
"FDXACB1",1.02
"FDXR",1.24
"FECH",1.07
"FEM1A",1.17
"FEM1B",1.29
"FEM1C",1.15
"FEN1",1.27
"FENDRR",1.32
"FER",1.12
"FER1L4",1.19
"FER1L5",1.21
"FER1L6",1.49
"FER1L6-AS1",1.51
"FER1L6-AS2",1.47
"FERD3L",1.09
"FERMT1",1.15
"FERMT2",1.24
"FERMT3",1.26
"FES",1.23
"FETUB",1.18
"FEV",1.29
"FEZ1",1.1
"FEZ2",1.18
"FEZF1",1.14
"FEZF1-AS1",1.18
"FEZF2",1.35
"FFAR1",0.76
"FFAR2",1.2
"FFAR3",1.12
"FFAR4",1.16
"FGA",1.14
"FGB",1.14
"FGD1",1.16
"FGD2",1.27
"FGD3",1.24
"FGD4",1.18
"FGD5",1.3
"FGD5-AS1",1.46
"FGD5P1",1.28
"FGD6",1.25
"FGF1",1.22
"FGF10",1.13
"FGF10-AS1",1.1
"FGF11",1.13
"FGF12",1.21
"FGF12-AS1",1.18
"FGF12-AS3",1.1
"FGF13",1.13
"FGF13-AS1",1.27
"FGF14",1.09
"FGF14-AS1",1.1
"FGF14-AS2",1.13
"FGF14-IT1",1.1
"FGF16",1.08
"FGF17",1.18
"FGF18",1.23
"FGF19",1.22
"FGF2",1.14
"FGF20",1.1
"FGF21",1.23
"FGF22",1.14
"FGF23",1.15
"FGF3",1.22
"FGF4",1.14
"FGF5",1.1
"FGF6",1.18
"FGF7",1.2
"FGF7P3",1.17
"FGF7P6",1.34
"FGF8",1.25
"FGF9",1.24
"FGFBP1",1.14
"FGFBP2",1.1
"FGFBP3",1.32
"FGFR1",1.13
"FGFR1OP",1.06
"FGFR1OP2",1.12
"FGFR2",1.19
"FGFR3",1.23
"FGFR4",1.34
"FGFRL1",1.2
"FGG",1.13
"FGGY",1.15
"FGL1",1.09
"FGL2",1.13
"FGR",1.28
"FH",1.14
"FHAD1",1.14
"FHDC1",1.17
"FHIT",1.1
"FHL1",1.19
"FHL2",1.29
"FHL3",1.19
"FHL5",1.11
"FHOD1",1.4
"FHOD3",1.11
"FIBCD1",1.2
"FIBIN",1.19
"FIBP",1.33
"FICD",1.39
"FIG4",1.15
"FIGLA",1.19
"FIGN",1.16
"FIGNL1",1.32
"FIGNL2",1.42
"FILIP1",1.15
"FILIP1L",1.2
"FIP1L1",1.11
"FIRRE",1.16
"FIS1",1.19
"FITM1",1.52
"FITM2",1.32
"FIZ1",1.26
"FJX1",1.18
"FKBP10",1.14
"FKBP11",1.38
"FKBP14",1.15
"FKBP15",1.17
"FKBP1A",1.19
"FKBP1A-SDCBP2",1.14
"FKBP1AP1",1.29
"FKBP1B",1.33
"FKBP2",1.43
"FKBP3",1.2
"FKBP4",1.25
"FKBP5",1.23
"FKBP6",1.2
"FKBP7",1.16
"FKBP8",1.17
"FKBP9",1.39
"FKBP9P1",1.19
"FKBPL",1.13
"FKRP",1.24
"FKSG29",1.32
"FKTN",1.2
"FLAD1",1.24
"FLCN",1.23
"FLG",1.33
"FLG-AS1",1.26
"FLG2",1.36
"FLI1",1.12
"FLII",1.31
"FLJ10038",1.49
"FLJ12825",1.24
"FLJ13224",1.67
"FLJ16779",1.22
"FLJ20021",1.47
"FLJ21408",1.18
"FLJ22447",1.23
"FLJ22763",1.13
"FLJ23867",1.47
"FLJ25758",1.12
"FLJ27354",1.14
"FLJ30679",1.44
"FLJ31104",1.12
"FLJ31356",1.33
"FLJ32255",1.22
"FLJ33534",1.27
"FLJ34503",1.22
"FLJ36000",1.32
"FLJ36777",1.24
"FLJ37035",1.24
"FLJ37201",1.11
"FLJ37453",1.19
"FLJ37505",1.15
"FLJ38576",1.02
"FLJ40194",1.24
"FLJ40288",1.18
"FLJ41200",1.11
"FLJ41278",1.18
"FLJ42102",1.16
"FLJ42351",1.35
"FLJ42393",1.08
"FLJ42627",1.5
"FLJ42969",1.38
"FLJ43315",1.11
"FLJ44635",1.12
"FLJ45513",1.28
"FLJ46284",1.11
