"gene","top1cc_density"
"ACYP2",1.15
"ADA",1.32
"ADAD1",1.15
"ADAD2",1.26
"ADAL",1.07
"ADAM10",1.12
"ADAM11",1.16
"ADAM12",1.17
"ADAM15",1.37
"ADAM17",1.24
"ADAM18",1.07
"ADAM19",1.18
"ADAM1A",1.42
"ADAM2",1.09
"ADAM20",1.2
"ADAM20P1",1.31
"ADAM21",1.12
"ADAM21P1",1.27
"ADAM22",1.17
"ADAM23",1.12
"ADAM28",1.06
"ADAM29",1.1
"ADAM30",1.15
"ADAM32",1.1
"ADAM33",1.2
"ADAM3A",1.08
"ADAM3B",1.17
"ADAM5",1.07
"ADAM6",1.22
"ADAM7",1.11
"ADAM8",1.23
"ADAM9",1.12
"ADAMDEC1",1.13
"ADAMTS1",1.2
"ADAMTS10",1.18
"ADAMTS12",1.15
"ADAMTS13",1.19
"ADAMTS14",1.22
"ADAMTS15",1.13
"ADAMTS16",1.17
"ADAMTS17",1.24
"ADAMTS18",1.27
"ADAMTS19",1.15
"ADAMTS19-AS1",1.17
"ADAMTS2",1.25
"ADAMTS20",1.18
"ADAMTS3",1.08
"ADAMTS4",1.23
"ADAMTS5",1.11
"ADAMTS6",1.14
"ADAMTS7",1.31
"ADAMTS7P1",1.26
"ADAMTS8",1.14
"ADAMTS9",1.86
"ADAMTS9-AS1",1.79
"ADAMTS9-AS2",1.75
"ADAMTSL1",1.11
"ADAMTSL2",1.19
"ADAMTSL3",1.19
"ADAMTSL4",1.42
"ADAMTSL4-AS1",1.94
"ADAMTSL5",1.15
"ADAP1",1.27
"ADAP2",1.14
"ADAR",1.25
"ADARB1",1.3
"ADARB2",1.22
"ADARB2-AS1",1.17
"ADAT1",1.33
"ADAT2",1.18
"ADAT3",1.23
"ADCK1",1.25
"ADCK2",1.19
"ADCK5",1.25
"ADCY1",1.21
"ADCY10",1.15
"ADCY10P1",1.18
"ADCY2",1.16
"ADCY3",1.28
"ADCY4",1.36
"ADCY5",1.27
"ADCY6",1.32
"ADCY7",1.16
"ADCY8",1.14
"ADCY9",1.22
