"gene","dsb_density"
"DNAJB12",70.805
"DNAJB13",54.505
"DNAJB14",56.795
"DNAJB2",57.53
"DNAJB3",85.635
"DNAJB4",37.84
"DNAJB5",46.415
"DNAJB5-AS1",34.275
"DNAJB6",94.775
"DNAJB7",31.845
"DNAJB8",33.96
"DNAJB8-AS1",56.255
"DNAJB9",69.135
"DNAJC1",56.505
"DNAJC10",30.645
"DNAJC11",34.635
"DNAJC12",33.415
"DNAJC13",42.27
"DNAJC14",119.61
"DNAJC15",35.835
"DNAJC16",27.345
"DNAJC17",46.65
"DNAJC18",59.69
"DNAJC19",22.43
"DNAJC2",83.295
"DNAJC21",55.665
"DNAJC22",144.685
"DNAJC24",29.915
"DNAJC25",60.38
"DNAJC25-GNG10",59.435
"DNAJC27",49.945
"DNAJC27-AS1",40.295
"DNAJC28",74.305
"DNAJC3",34.275
"DNAJC3-AS1",46.755
"DNAJC30",64.77
"DNAJC4",98.835
"DNAJC5",65.305
"DNAJC5B",29.39
"DNAJC5G",27.215
"DNAJC6",32.265
"DNAJC7",50.915
"DNAJC8",47.535
"DNAJC9",106.445
"DNAJC9-AS1",50.645
"DNAL1",41.24
"DNAL4",45.34
"DNALI1",44.065
"DNASE1",105.4
"DNASE1L1",54.095
"DNASE1L2",24.54
"DNASE1L3",19.24
"DNASE2",30.105
"DNASE2B",36.405
"DND1",48.935
"DNER",27.22
"DNHD1",26.26
"DNLZ",57.02
"DNM1",74.955
"DNM1L",52.625
"DNM1P35",74.53
"DNM1P41",73.72
"DNM1P46",55.415
"DNM2",68.815
"DNM3",37.815
"DNM3-IT1",164.025
"DNM3OS",20.485
"DNMBP",69.95
"DNMBP-AS1",89.37
"DNMT1",73.095
"DNMT3A",59.95
"DNMT3B",55.23
"DNMT3L",44.505
"DNPEP",68.435
"DNPH1",71.05
"DNTT",26.225
"DNTTIP1",34.96
"DNTTIP2",30.855
"DOC2A",68.355
"DOC2B",19.565
"DOC2GP",152.495
"DOCK1",72.245
"DOCK10",28.57
"DOCK11",30.415
"DOCK2",28.97
"DOCK3",20.235
"DOCK4",41.225
"DOCK4-AS1",18.55
"DOCK5",33.36
"DOCK6",70.745
"DOCK7",37.49
"DOCK8",30.175
"DOCK9",26.07
"DOCK9-AS1",21.415
"DOCK9-AS2",14.475
"DOHH",37.72
"DOK1",57.725
"DOK2",11.155
"DOK3",108.78
"DOK4",31.755
"DOK5",256.52
"DOK6",8.215
"DOK7",115.675
"DOLK",112.48
"DOLPP1",72.87
"DONSON",61.08
"DOPEY1",37.685
"DOPEY2",61.46
"DOT1L",52.245
"DPAGT1",137.295
"DPCD",34.375
"DPCR1",22.665
"DPEP1",85.505
"DPEP2",67.25
"DPEP3",33.355
"DPF1",82.26
"DPF2",62.59
"DPF3",35.285
"DPH1",69.385
"DPH2",104.595
"DPH3",44.595
"DPH3P1",83.275
"DPH5",35.575
"DPH6",23.495
"DPH6-AS1",15.55
"DPH7",73.62
"DPM1",62.08
"DPM2",248.185
"DPM3",42.76
"DPP10",17.96
"DPP10-AS1",20.445
"DPP10-AS3",42.1
"DPP3",67.035
"DPP4",21.855
"DPP6",24.76
"DPP7",77.82
"DPP8",65.36
"DPP9",45.37
"DPP9-AS1",45.025
"DPPA2",37.075
"DPPA2P3",24.045
"DPPA3",35.74
"DPPA4",26.26
"DPPA5",44.855
"DPRX",27.46
"DPRXP4",41.38
"DPT",43.68
"DPY19L1",55.465
"DPY19L1P1",70.94
"DPY19L1P2",56.975
"DPY19L2",45.73
"DPY19L2P1",46.22
"DPY19L2P2",42.605
"DPY19L2P3",105.305
"DPY19L2P4",83.4
"DPY19L3",46.03
"DPY19L4",47.905
"DPY30",43.645
"DPYD",20.225
"DPYD-AS1",17.15
"DPYS",34.14
"DPYSL2",28.74
"DPYSL3",26.27
"DPYSL4",52
"DPYSL5",43.975
"DQX1",46.765
"DR1",27.615
"DRAIC",50.365
"DRAM1",44.775
"DRAM2",73.85
"DRAP1",140.425
"DRAXIN",26.715
"DRC1",41.19
"DRC3",48.23
"DRC7",26.06
"DRD1",85.7
"DRD2",13.75
"DRD3",26.015
"DRD4",24.13
"DRD5",11.35
"DRD5P2",86.465
"DRG1",47.17
"DRG2",70.65
"DRGX",31.005
"DRICH1",35.4
"DROSHA",39.645
"DRP2",29.365
"DSC1",34.215
"DSC2",34.375
"DSC3",25.98
"DSCAM",69.94
"DSCAM-AS1",894.775
"DSCAM-IT1",22.14
"DSCAML1",39.245
"DSCAS",37.045
"DSCC1",54.585
"DSCR10",66.17
"DSCR3",72.115
"DSCR4",45.67
"DSCR8",50.46
"DSCR9",61.64
"DSE",33.505
"DSEL",5.315
"DSG1",36.405
"DSG1-AS1",32.26
"DSG2",36.335
"DSG2-AS1",23.87
"DSG3",24.61
"DSG4",28.5
"DSN1",52.335
"DSP",90.775
"DSPP",52.345
"DST",44.205
"DSTN",86.94
"DSTNP2",49.31
"DSTYK",72.32
"DTD1",44.665
"DTD2",66.64
"DTHD1",14.625
"DTL",25.94
"DTNA",38.795
"DTNB",48.145
"DTNBP1",38.43
"DTWD1",74.63
"DTWD2",41.745
"DTX1",57.63
"DTX2",81.67
"DTX2P1-UPK3BP1-PMS2P11",89.565
"DTX3",68.215
"DTX3L",80.25
"DTX4",22.695
"DTYMK",82.78
"DUBR",21.435
"DUOX1",24.615
"DUOX2",18.9
"DUOXA1",28.48
"DUOXA2",28.55
"DUPD1",43.42
"DUS1L",92.56
"DUS2",58.08
"DUS3L",129.92
"DUS4L",78.46
"DUSP1",131.16
"DUSP10",35.42
"DUSP11",42.67
"DUSP12",77.525
"DUSP13",59.035
"DUSP14",23.065
"DUSP15",55.365
"DUSP16",67.375
"DUSP18",56.53
"DUSP19",20.405
"DUSP2",47.99
"DUSP21",0
"DUSP22",85.92
"DUSP23",33.685
"DUSP26",24.915
"DUSP27",53.69
"DUSP28",123.89
"DUSP3",57.27
"DUSP4",174.305
"DUSP5",65.725
"DUSP5P1",65.255
"DUSP6",75.81
"DUSP7",25.4
"DUSP8",31.895
"DUSP9",33.73
"DUT",31.8
"DUX4",2.225
"DUXA",38.02
"DUXAP10",132.405
"DUXAP8",120.62
"DVL1",45.14
"DVL2",71.17
"DVL3",86.055
"DXO",0
"DYDC1",30.38
"DYDC2",32.7
"DYM",25.99
"DYNAP",2.35
"DYNC1H1",134.13
"DYNC1I1",27.025
"DYNC1I2",30.51
"DYNC1LI1",55.97
"DYNC1LI2",55.595
"DYNC2H1",18.02
"DYNC2LI1",30.335
"DYNLL1",33.635
"DYNLL2",248.02
"DYNLRB1",72.065
"DYNLRB2",67.85
"DYNLT1",32.87
"DYNLT3",37.045
"DYRK1A",59.785
"DYRK1B",48.895
"DYRK2",70.41
"DYRK3",47.815
"DYRK4",22.92
"DYSF",32.25
"DYTN",15.515
"DYX1C1",28.58
"DYX1C1-CCPG1",36.855
"DZANK1",32.205
"DZIP1",17.255
"DZIP1L",41.645
"DZIP3",35.51
"E2F1",97.365
"E2F2",51.775
"E2F3",78.045
"E2F4",108.955
"E2F5",36.76
"E2F6",85.39
"E2F7",53.645
"E2F8",68.27
"E4F1",80.05
"EAF1",63.475
"EAF2",28.62
"EAPP",66.33
"EARS2",70.975
"EBAG9",77.755
"EBF1",18.075
"EBF2",15.805
"EBF3",51.005
"EBF4",29.165
"EBI3",37.235
"EBLN1",0
"EBLN2",16.57
"EBLN3P",75.515
"EBNA1BP2",291.155
"EBP",47.14
"EBPL",47.905
"ECD",45.465
"ECE1",82.1
"ECE2",43.93
"ECEL1",37.23
"ECEL1P2",84.16
"ECH1",67.83
"ECHDC1",36.67
"ECHDC2",71.6
"ECHDC3",33.98
"ECHS1",52.45
"ECI1",53.295
"ECI2",35.59
"ECM1",89.59
"ECM2",49.99
"ECRP",0
"ECSCR",28.885
"ECSIT",90.54
"ECT2",81.14
"ECT2L",33.31
"EDA",16.01
"EDA2R",11.295
"EDAR",41.34
"EDARADD",43.16
"EDC3",77.135
"EDC4",109.545
"EDDM3A",55.95
"EDDM3B",118.545
"EDEM1",82.97
"EDEM2",28.955
"EDEM3",37.69
"EDF1",116.615
"EDIL3",20.435
"EDN1",95.02
"EDN2",77.905
"EDN3",53.285
"EDNRA",33.205
"EDNRB",19.33
"EDNRB-AS1",17.68
"EDRF1",49.035
"EDRF1-AS1",33.42
"EEA1",47.35
"EED",84.775
"EEF1A1",394.62
"EEF1A2",77.295
"EEF1AKMT1",45.385
"EEF1B2",172.04
"EEF1D",187.4
"EEF1DP3",24.61
"EEF1E1",61.44
"EEF1E1-BLOC1S5",49.255
"EEF1G",107.765
"EEF2",813.725
"EEF2K",63.6
"EEF2KMT",82.615
"EEFSEC",62.09
"EEPD1",44.14
"EFCAB1",20.15
"EFCAB10",56.435
"EFCAB11",31.18
"EFCAB12",47.89
"EFCAB13",38.285
"EFCAB14",44.1
"EFCAB14-AS1",37.63
"EFCAB2",33.495
"EFCAB3",49.405
"EFCAB5",24.12
"EFCAB6",34.89
"EFCAB6-AS1",38.81
"EFCAB7",31.44
"EFCAB9",32.22
"EFCC1",91.88
"EFEMP1",28.015
"EFEMP2",79.905
"EFHB",35.91
"EFHC1",33.515
"EFHC2",18.805
"EFHD1",41.925
"EFHD2",50.755
"EFL1",43.83
"EFNA1",89.225
"EFNA2",33.855
"EFNA3",103.85
"EFNA4",65.32
"EFNA5",59.24
"EFNB1",41.24
"EFNB2",28.14
"EFNB3",57.175
"EFR3A",34.82
"EFR3B",39.37
"EFS",64.585
"EFTUD1P1",39.315
"EFTUD2",31.055
"EGF",32.1
"EGFEM1P",37.345
"EGFL6",21.66
"EGFL7",39.33
"EGFL8",7.33
"EGFLAM",24.35
"EGFLAM-AS2",7.375
"EGFLAM-AS4",31.14
"EGFR",43.055
"EGFR-AS1",50.35
"EGLN1",56.11
"EGLN2",105.62
"EGLN3",40.6
"EGOT",90.73
"EGR1",564.19
"EGR2",41.695
"EGR3",286.7
"EGR4",88.575
"EHBP1",31.035
"EHBP1L1",144.9
"EHD1",88.62
"EHD2",61.375
"EHD3",47.57
"EHD4",36.95
"EHD4-AS1",34.57
"EHF",25.18
"EHHADH",29.635
"EHHADH-AS1",26.2
"EHMT1",81.16
"EHMT1-IT1",30.8
"EHMT2",39.5
"EI24",17.97
"EID1",118.005
"EID2",97.605
"EID2B",61.45
"EID3",92.7
"EIF1",137.885
"EIF1AD",77.7
"EIF1AX",61.41
"EIF1AX-AS1",114.095
"EIF1B",89.265
"EIF1B-AS1",25.735
"EIF2A",85.415
"EIF2AK1",65.66
"EIF2AK2",50.89
"EIF2AK3",42.08
"EIF2AK4",33.63
"EIF2B1",61.705
"EIF2B2",44.925
"EIF2B3",39.255
"EIF2B4",66.75
"EIF2B5",82.285
"EIF2D",69.05
"EIF2S1",69.835
"EIF2S2",105.73
"EIF2S3",75.365
"EIF3A",142.175
"EIF3B",159.36
"EIF3C",96.595
"EIF3CL",132.365
"EIF3D",68.555
"EIF3E",87.245
"EIF3F",46.3
"EIF3G",72.225
"EIF3H",49.65
"EIF3I",65.13
"EIF3IP1",0
"EIF3J",55.275
"EIF3J-AS1",89.435
"EIF3K",82.38
"EIF3L",65.855
"EIF3M",67.145
"EIF4A1",427.145
"EIF4A2",563.375
"EIF4A3",93.755
"EIF4B",151.29
"EIF4E",58.91
"EIF4E1B",61.105
"EIF4E2",49.455
"EIF4E3",37.585
"EIF4EBP1",46.635
"EIF4EBP2",62.34
"EIF4EBP3",28.795
"EIF4ENIF1",42.685
"EIF4G1",435.89
"EIF4G2",125.725
"EIF4G3",60.585
"EIF4H",57.57
"EIF5",241.12
"EIF5A",110.075
"EIF5A2",63.275
"EIF5AL1",84.985
"EIF5B",46.38
"EIF6",119.825
"ELAC1",10.935
"ELAC2",47.44
"ELANE",6.825
"ELAVL1",52.67
"ELAVL2",19.67
"ELAVL3",56.75
"ELAVL4",18.385
"ELDR",39.515
"ELF1",58.185
"ELF2",80.96
"ELF3",505.5
"ELF4",62.48
"ELF5",41.38
"ELFN1",64.535
"ELFN1-AS1",81.41
"ELFN2",70.555
"ELK1",57.765
"ELK2AP",75.845
"ELK3",59.315
"ELK4",127.02
"ELL",69.65
"ELL2",48.245
"ELL3",51.845
"ELMO1",22.18
"ELMO1-AS1",22.295
"ELMO2",47.22
"ELMO3",83.4
"ELMOD1",18.75
"ELMOD2",48
"ELMOD3",41.98
"ELMSAN1",92.605
"ELN",52.955
"ELOA",58.5
"ELOA-AS1",42.745
"ELOA2",62.555
"ELOA3B",116.425
"ELOA3D",159.26
"ELOB",116.11
"ELOC",50.22
"ELOF1",91.835
"ELOVL1",69.94
"ELOVL2",34.7
"ELOVL2-AS1",33.855
"ELOVL3",41.09
"ELOVL4",24.075
"ELOVL5",64.11
"ELOVL6",36.725
"ELOVL7",33.34
"ELP2",63.575
"ELP3",31.135
"ELP4",23.92
"ELP5",79.61
"ELP6",60.49
"ELSPBP1",26.815
"EMB",31.99
"EMBP1",29.425
"EMC1",59.365
"EMC10",214.055
"EMC2",52.67
"EMC3",131.095
"EMC3-AS1",178.465
"EMC4",20.985
"EMC6",58.14
"EMC7",26.045
"EMC8",133.185
"EMC9",135.375
"EMCN",45.745
"EMD",24.09
"EME1",36.365
"EME2",27.065
"EMG1",79.105
"EMID1",36.525
"EMILIN1",79.675
"EMILIN2",40.2
"EMILIN3",122.245
"EML1",43.875
"EML2",74.625
"EML2-AS1",60.315
"EML3",113.695
"EML4",40.49
"EML5",33.285
"EML6",29.555
"EMP1",24.385
"EMP2",182.54
"EMP3",68.23
"EMSY",68.225
"EMX1",62.59
"EMX2",50.035
"EMX2OS",34.585
"EN1",40.855
"EN2",48.725
"ENAH",55.83
"ENAM",18.04
"ENC1",62.2
"ENDOD1",19.025
"ENDOG",111.575
"ENDOU",36.1
"ENDOV",74.72
"ENG",56.18
"ENGASE",55.86
"ENHO",0
"ENKD1",64.29
"ENKUR",28.785
"ENO1",125.615
"ENO1-AS1",25.67
"ENO2",64.685
"ENO3",40.37
"ENO4",23.04
"ENOPH1",75.765
"ENOSF1",80.69
"ENOX1",21.41
"ENOX1-AS2",28.28
"ENOX2",37.61
"ENPEP",28.795
"ENPP1",38.18
"ENPP2",28.29
"ENPP3",26.245
"ENPP4",14.61
"ENPP5",34.65
"ENPP6",21.94
"ENPP7",53.945
"ENPP7P13",51.05
"ENSA",253.645
"ENTHD1",26.22
"ENTPD1",20.62
"ENTPD1-AS1",27.02
"ENTPD2",50.33
"ENTPD3",29.635
"ENTPD3-AS1",35.92
"ENTPD4",41.88
"ENTPD5",40.72
"ENTPD6",84.11
"ENTPD7",35.885
"ENTPD8",42.205
"ENY2",109.895
"EOGT",32.455
"EOMES",52.51
"EP300",77.15
"EP300-AS1",44.195
"EP400",92.405
"EP400NL",77.025
"EPAS1",41.895
"EPB41",44.3
"EPB41L1",94.01
"EPB41L2",22.41
"EPB41L3",17.035
"EPB41L4A",25.23
"EPB41L4A-AS1",110.635
"EPB41L4A-AS2",38.955
"EPB41L4B",51.45
"EPB41L5",35.97
"EPB42",18.285
"EPC1",64.075
"EPC2",34.645
"EPCAM",82.41
"EPDR1",23.51
"EPG5",30.975
"EPGN",22.87
"EPHA1",56.79
"EPHA1-AS1",28.495
"EPHA10",51.515
"EPHA2",66.02
"EPHA3",21.23
"EPHA4",57.675
"EPHA5",13.825
"EPHA5-AS1",18.675
"EPHA6",23.185
"EPHA7",19.105
"EPHA8",46.875
"EPHB1",24.56
"EPHB2",46.94
"EPHB3",69.995
"EPHB4",145.695
"EPHB6",45.915
"EPHX1",59.24
"EPHX2",27.34
"EPHX3",57.97
"EPHX4",20.39
"EPM2A",27.175
"EPM2AIP1",65.975
"EPN1",70.095
"EPN2",54.705
"EPN2-AS1",36.525
"EPN2-IT1",63.595
"EPN3",58.99
"EPO",46.865
"EPOP",25.42
"EPOR",106.87
"EPPIN",15.95
"EPPIN-WFDC6",21.935
"EPPK1",211.505
"EPRS",37.715
"EPS15",40.675
"EPS15L1",66.31
"EPS8",37.215
"EPS8L1",36.095
"EPS8L2",51.805
"EPS8L3",80.12
"EPSTI1",31.35
"EPX",76.07
"EPYC",22.38
"EQTN",26.21
"ERAL1",53.54
"ERAP1",35.635
"ERAP2",27.985
"ERAS",32.485
"ERBB2",82.1
"ERBB3",104.68
"ERBB4",21.355
"ERBIN",51.425
"ERC1",43.045
"ERC2",16.805
"ERC2-IT1",36.58
"ERCC1",62.435
"ERCC2",55.17
"ERCC3",44.43
"ERCC4",38.145
"ERCC5",27.145
"ERCC6",45.575
"ERCC6L",34.055
"ERCC6L2",36.73
"ERCC8",36
"EREG",45.06
"ERF",158.3
"ERFE",57.61
"ERG",48.47
"ERGIC1",71.555
"ERGIC2",34.265
"ERGIC3",185.915
"ERH",84.205
"ERI1",25.945
"ERI2",46.66
"ERI3",43.695
"ERI3-IT1",57.7
"ERICH1",43
"ERICH1-AS1",20.28
"ERICH2",35.57
"ERICH3",17.81
"ERICH3-AS1",17.375
"ERICH4",67.43
"ERICH5",42.09
"ERICH6",41.405
"ERICH6-AS1",44.275
"ERICH6B",30.795
"ERLEC1",44.41
"ERLIN1",42.375
"ERLIN2",26.995
"ERMAP",33.25
"ERMARD",23.66
"ERMN",22.38
"ERMP1",62.985
"ERN1",60.085
"ERN2",77.36
"ERO1A",47.815
"ERO1B",34.22
"ERP27",31.115
"ERP29",180.24
"ERP44",40.93
"ERRFI1",106.84
"ERV3-1",63.105
"ERV3-1-ZNF117",54.005
"ERVFRD-1",49.61
"ERVH48-1",88.57
"ERVK13-1",99.74
"ERVK3-1",76.86
"ERVMER34-1",13.35
"ERVV-1",21.665
"ERVV-2",29.915
"ERVW-1",68.93
"ESAM",50.135
"ESCO1",56.18
"ESCO2",26.86
"ESD",60.835
"ESF1",54.785
"ESM1",21.34
"ESPL1",78.395
"ESPN",45.855
"ESPNL",63.365
"ESPNP",68.635
"ESR1",147.645
"ESR2",48.615
"ESRG",31.77
"ESRP1",82.34
"ESRP2",142.105
"ESRRA",212.255
"ESRRB",40.28
"ESRRG",26.49
"ESX1",33.395
"ESYT1",104.43
"ESYT2",82.66
"ESYT3",51.625
"ETAA1",45.905
"ETF1",75.51
"ETFA",85.575
"ETFB",77.16
"ETFBKMT",32.285
"ETFDH",31.25
"ETFRF1",44.4
"ETHE1",49.165
"ETNK1",45.51
"ETNK2",126.65
"ETNPPL",18.095
"ETS1",17.38
"ETS2",100.07
"ETV1",15.785
"ETV2",51.99
"ETV3",93.62
"ETV3L",56.1
"ETV4",53.045
"ETV5",59.14
"ETV6",44.14
"ETV7",59.305
"EVA1A",18.645
"EVA1B",68.045
"EVA1C",36.005
"EVADR",15.625
"EVC",20.385
"EVC2",19.075
"EVI2A",10.21
"EVI2B",42.18
"EVI5",28.385
"EVI5L",42.33
"EVL",58.915
"EVPL",89.67
"EVPLL",25.365
"EVX1",61.585
"EVX1-AS",69.955
"EVX2",28.13
"EWSAT1",27.33
"EWSR1",113.59
"EXD1",30.7
"EXD2",53
"EXD3",51.69
"EXO1",47.18
"EXO5",37.03
"EXOC1",24.905
"EXOC2",37.49
"EXOC3",106.465
"EXOC3-AS1",61.04
"EXOC3L1",51.425
"EXOC3L2",45.36
"EXOC3L4",70.5
"EXOC4",34.96
"EXOC5",36.445
"EXOC6",34.69
"EXOC6B",32.555
"EXOC7",67.015
"EXOC8",68.65
"EXOG",56.385
"EXOSC1",21.52
"EXOSC10",37.615
"EXOSC2",113.265
"EXOSC3",66.055
"EXOSC4",121.265
"EXOSC5",52.015
"EXOSC6",483.315
"EXOSC7",54.7
"EXOSC8",75.52
"EXOSC9",61.005
"EXPH5",31.555
"EXT1",44.035
"EXT2",26.38
"EXTL1",57.31
"EXTL2",29.925
"EXTL3",34.48
"EXTL3-AS1",80.22
"EYA1",20.99
"EYA2",97.535
"EYA3",44.775
"EYA4",20.43
"EYS",18.9
"EZH1",23.13
"EZH2",68.895
"EZR",74.055
"EZR-AS1",57.385
"F10",17.33
"F10-AS1",14.56
"F11",17.235
"F11-AS1",18.405
"F11R",81.595
"F12",113.35
"F13A1",21.305
"F13B",26.25
"F2",44.075
"F2R",34.435
"F2RL1",55.375
"F2RL2",27.575
"F2RL3",14.73
"F3",21.545
"F5",42.315
"F7",36.42
"F8",24.615
"F8A1",32.025
"F8A2",0
"F9",27.525
"FA2H",116.81
"FAAH",61.33
"FAAH2",19.385
"FAAHP1",20.685
"FAAP100",126.28
"FAAP20",63.16
"FAAP24",46.425
"FABP1",15.845
"FABP12",21.405
"FABP2",0
"FABP3",50.79
"FABP4",51.805
"FABP5",38.085
"FABP5P3",40.04
"FABP6",36.575
"FABP7",17.955
"FABP9",34.715
"FADD",103.285
"FADS1",68.755
"FADS2",68.875
"FADS3",70.87
"FADS6",23.135
"FAF1",44.785
"FAF2",87.12
"FAH",53.415
"FAHD1",52.37
"FAHD2A",33.84
"FAHD2B",31.3
"FAHD2CP",43.285
"FAIM",60.775
"FAIM2",61.69
"FALEC",143.205
"FAM102A",253.075
"FAM102B",66.44
"FAM103A1",56.155
"FAM104A",53.575
"FAM104B",28.585
"FAM105A",50.755
"FAM106A",59.62
"FAM106B",53.965
"FAM106CP",30.66
"FAM107A",24.035
"FAM107B",45.36
"FAM109A",51.5
"FAM109B",20.91
"FAM110A",36.815
"FAM110B",26.895
"FAM110C",59.58
"FAM110D",22.42
"FAM111A",37.73
"FAM111B",35.1
"FAM114A1",24.13
"FAM114A2",28.475
"FAM117A",41.515
"FAM117B",41.18
"FAM118A",83.32
"FAM118B",23.38
"FAM120A",101.72
"FAM120AOS",59.025
"FAM120B",32.595
"FAM120C",32.035
"FAM122A",28.15
"FAM122B",42.66
"FAM122C",35.045
"FAM124A",25.04
"FAM124B",44.325
"FAM126A",30.645
"FAM126B",39.285
"FAM127A",154.14
"FAM127B",151.725
"FAM127C",53.625
"FAM129A",38.42
"FAM129B",110.375
"FAM129C",34.89
"FAM131A",71.065
"FAM131B",31.99
"FAM131C",37.745
"FAM132A",18.92
"FAM133A",19.985
"FAM133B",78.08
"FAM133CP",207.545
"FAM133DP",13.355
"FAM134A",90.05
"FAM134B",45.8
"FAM134C",51.095
"FAM135A",24.36
"FAM135B",19.45
"FAM136A",93.52
"FAM138A",92.035
"FAM138B",37.05
"FAM138D",55.455
"FAM138E",92.825
"FAM13A",25.45
"FAM13A-AS1",21.56
"FAM13B",52.76
"FAM13C",20.08
"FAM149A",29.32
"FAM149B1",36.53
"FAM150A",27.785
"FAM150B",50.265
"FAM151A",60.76
"FAM151B",31.5
"FAM153A",61.015
"FAM153B",61.465
"FAM153C",75.165
"FAM155A",23.73
"FAM155A-IT1",37.53
"FAM155B",25.89
"FAM156A",50.985
"FAM156B",120.245
"FAM157A",118.575
"FAM157B",140.81
"FAM157C",112.28
"FAM159A",28.87
"FAM159B",22.465
"FAM160A1",33.67
"FAM160A2",39.58
"FAM160B1",34.9
"FAM160B2",75.34
"FAM161A",21.36
"FAM161B",53.245
"FAM162A",50.415
"FAM162B",34.29
"FAM163A",58.265
"FAM163B",29.44
"FAM166A",149.695
"FAM166B",39.645
"FAM167A",30.005
"FAM167A-AS1",27.135
"FAM167B",16.4
"FAM168A",45.705
"FAM168B",73.855
"FAM169A",32.075
"FAM169B",31.77
"FAM170A",21.81
"FAM170B",38.06
"FAM170B-AS1",21.105
"FAM171A1",35.055
"FAM171A2",45.765
"FAM171B",33.28
"FAM172A",24.565
"FAM172BP",48.815
"FAM173A",93.83
"FAM173B",54.865
"FAM174A",22.2
"FAM174B",109.015
"FAM175A",25.89
"FAM175B",46.14
"FAM177A1",76.565
"FAM177B",26.145
"FAM178B",59.825
"FAM180A",39.605
"FAM180B",107.61
"FAM181A",35.465
"FAM181A-AS1",35.195
"FAM181B",0
"FAM182A",66.555
"FAM182B",84.295
"FAM183A",51.28
"FAM183BP",77.635
"FAM183CP",7.64
"FAM184A",30.515
"FAM184B",20.28
"FAM185A",57.505
"FAM186A",44.42
"FAM186B",79.145
"FAM187B",34.655
"FAM188A",35.75
"FAM188B",33.54
"FAM189A1",17.245
"FAM189A2",32.535
"FAM189B",82.02
"FAM192A",29.99
"FAM193A",41.75
"FAM193B",108.985
"FAM196A",39.56
"FAM196B",28.975
"FAM198A",30.58
"FAM198B",42.78
"FAM199X",66.035
"FAM19A1",16.825
"FAM19A2",26.215
"FAM19A3",49.155
"FAM19A4",21.835
"FAM19A5",56.405
"FAM200A",79.485
"FAM200B",21.66
"FAM201A",74.05
"FAM201B",83.375
"FAM204A",34.375
"FAM205A",37.875
"FAM205BP",36.155
"FAM205C",8.205
"FAM206A",45.64
"FAM207A",112.71
"FAM208A",43.355
"FAM208B",83.055
"FAM209A",18.935
"FAM209B",50.15
"FAM20A",41.425
"FAM20B",78.705
"FAM20C",69.8
"FAM210A",55.995
"FAM210B",70.165
"FAM212A",0
"FAM212B",58.32
"FAM212B-AS1",75.45
"FAM213A",61.925
"FAM213B",86.95
"FAM214A",114.545
"FAM214B",50.73
"FAM215A",70.57
"FAM216A",47.34
"FAM216B",27.09
"FAM217A",42.8
"FAM217B",67.725
"FAM218A",50.415
"FAM219A",36.62
"FAM219B",75.115
"FAM21EP",43.13
"FAM220A",55.64
"FAM221A",39.99
"FAM221B",32.545
"FAM222A",63.135
"FAM222A-AS1",45.79
"FAM222B",94.54
"FAM223A",38.76
"FAM225A",86.045
"FAM225B",78.32
"FAM226A",53.32
"FAM227A",33.335
"FAM227B",38.455
"FAM228A",40.635
"FAM228B",38.755
"FAM229A",0
"FAM229B",44.55
"FAM230A",54.555
"FAM230B",58.285
"FAM231A",159.53
"FAM231B",206.365
"FAM231C",166.28
"FAM231D",120.19
"FAM234A",72.53
"FAM234B",67.665
"FAM236A",0
"FAM24A",22.85
"FAM24B",43.825
"FAM24B-CUZD1",36.24
"FAM25A",73.65
"FAM25BP",121.79
"FAM25C",97.07
"FAM25G",97.44
"FAM26D",28.765
"FAM26E",31.085
"FAM26F",45.155
"FAM27B",64.14
"FAM27C",151.51
"FAM27E2",108.13
"FAM27E3",97.56
"FAM27E5",72.075
"FAM30A",44.39
"FAM30C",57.84
"FAM32A",106.755
"FAM35A",71.355
"FAM35BP",81.56
"FAM35DP",70.96
"FAM3A",40.475
"FAM3B",67.05
"FAM3C",35.08
"FAM3D",24.855
"FAM3D-AS1",25.915
"FAM41C",59.425
"FAM43A",51.825
"FAM43B",21.115
"FAM45A",41.75
"FAM45BP",43.725
"FAM46A",89.775
"FAM46B",55.62
"FAM46C",64.43
"FAM46D",15.16
"FAM47A",42.28
"FAM47B",0
"FAM47C",41.115
"FAM47E",34.4
"FAM47E-STBD1",36.195
"FAM49A",27.145
"FAM49B",61.86
"FAM50A",25.145
"FAM50B",83.645
"FAM53A",34.78
"FAM53B",68.095
"FAM53B-AS1",66.16
"FAM53C",65.005
"FAM57A",41.855
"FAM57B",29.755
"FAM58A",45.96
"FAM60A",52.725
"FAM63A",101.455
"FAM63B",22.9
"FAM64A",41.08
"FAM65A",81.665
"FAM65B",23.985
"FAM65C",176.5
"FAM66A",19.465
"FAM66B",17.765
"FAM66C",27.555
"FAM66D",24.69
"FAM66E",16.26
"FAM69A",47.72
"FAM69B",60.585
"FAM69C",10.1
"FAM71A",58.32
"FAM71B",27.705
"FAM71C",22.805
"FAM71D",36.3
"FAM71E1",46.325
"FAM71E2",29.44
"FAM71F1",37.325
"FAM71F2",29.755
"FAM72A",138.905
"FAM72B",91.725
"FAM72C",93.475
"FAM72D",112.675
"FAM74A1",59.38
"FAM74A3",37.86
"FAM74A4",53.495
"FAM76A",27.34
"FAM76B",20.895
"FAM78A",45.76
"FAM78B",16.735
"FAM81A",23.29
"FAM81B",26.255
"FAM83A",149.02
"FAM83A-AS1",121.53
"FAM83B",47.195
"FAM83C",28.3
