"gene","dsb_density"
"ADAM23",21.62
"ADAM28",14.875
"ADAM29",19.575
"ADAM30",63.295
"ADAM32",19.645
"ADAM33",42.45
"ADAM3A",13.985
"ADAM3B",57.345
"ADAM5",13.915
"ADAM6",10.615
"ADAM7",12.695
"ADAM8",60.025
"ADAM9",36.325
"ADAMDEC1",16.325
"ADAMTS1",17.995
"ADAMTS10",24.98
"ADAMTS12",18.47
"ADAMTS13",45.385
"ADAMTS14",39.96
"ADAMTS15",30.455
"ADAMTS16",27.255
"ADAMTS17",46.45
"ADAMTS18",34.94
"ADAMTS19",38.24
"ADAMTS19-AS1",169.9
"ADAMTS2",51.7
"ADAMTS20",29.49
"ADAMTS3",15.05
"ADAMTS4",40.935
"ADAMTS5",11.57
"ADAMTS6",25.05
"ADAMTS7",55.64
"ADAMTS7P1",61.19
"ADAMTS8",23.66
"ADAMTS9",203.755
"ADAMTS9-AS1",204.645
"ADAMTS9-AS2",161.83
"ADAMTSL1",19.795
"ADAMTSL2",37.67
"ADAMTSL3",38.43
"ADAMTSL4",176.655
"ADAMTSL4-AS1",147.775
"ADAMTSL5",36.665
"ADAP1",84.355
"ADAP2",25.47
"ADAR",87.435
"ADARB1",79.205
"ADARB2",48.675
"ADARB2-AS1",51.93
"ADAT1",69.27
"ADAT2",44.015
"ADAT3",36.53
"ADCK1",38.71
"ADCK2",54.59
"ADCK5",102.395
"ADCY1",62.805
"ADCY10",40.84
"ADCY10P1",33.61
"ADCY2",18.54
"ADCY3",66.465
"ADCY4",77.99
"ADCY5",67.17
"ADCY6",132.075
"ADCY7",29.045
"ADCY8",22.505
"ADCY9",59.34
"ADCYAP1",18.735
"ADCYAP1R1",28.625
"ADD1",42.095
"ADD2",28.215
"ADD3",28.69
"ADD3-AS1",37.36
"ADGB",25.545
"ADGRA1",47.965
"ADGRA1-AS1",56.22
"ADGRA2",41.12
"ADGRA3",25.675
"ADGRB1",65.91
"ADGRB2",63.34
"ADGRB3",18.295
"ADGRD1",48.755
"ADGRE1",21.66
"ADGRE2",35.575
"ADGRE3",28.385
"ADGRE4P",22.005
"ADGRE5",49.475
"ADGRF1",25.605
"ADGRF2",29.8
"ADGRF3",45.74
"ADGRF4",20.855
"ADGRF5",29.8
"ADGRG1",59.97
"ADGRG2",27.855
"ADGRG3",36.125
"ADGRG4",25.6
"ADGRG5",23.625
"ADGRG6",41.565
"ADGRG7",28.905
"ADGRL1",77.04
"ADGRL2",28.19
"ADGRL3",12.53
"ADGRL3-AS1",30.145
"ADGRL4",19.795
"ADGRV1",29.325
"ADH1A",27.875
"ADH1B",23.295
"ADH1C",18
"ADH4",33.095
"ADH5",26.075
"ADH6",18.075
"ADH7",25.725
"ADHFE1",36.77
"ADI1",34.055
"ADIG",37.27
"ADIPOQ",20.575
"ADIPOQ-AS1",19.1
"ADIPOR1",122.87
"ADIPOR2",54.045
"ADIRF",109.725
"ADK",42.745
"ADM",146.365
"ADM2",109.945
"ADM5",105.755
"ADNP",122.14
"ADNP-AS1",63.73
"ADNP2",31.405
"ADO",51.475
"ADORA1",82.415
"ADORA2A",68.87
"ADORA2A-AS1",38.035
"ADORA2B",72.235
"ADORA3",34.61
"ADPGK",73.115
"ADPGK-AS1",76.215
"ADPRH",49.305
"ADPRHL1",48.945
"ADPRHL2",75.235
"ADPRM",44.9
"ADRA1A",13.68
"ADRA1B",30.47
"ADRA1D",31.595
"ADRA2A",41.94
"ADRA2B",72.355
"ADRA2C",69.745
"ADRB1",38.3
"ADRB2",40.185
"ADRB3",15.01
"ADRM1",127.845
"ADSL",58.005
"ADSS",48.745
"ADSSL1",59.84
"ADTRP",27.865
"AEBP1",106.535
"AEBP2",44.41
"AEN",173.79
"AES",74.785
"AFAP1",39.595
"AFAP1-AS1",41.645
"AFAP1L1",33.365
"AFAP1L2",38.65
"AFDN",28.655
"AFDN-AS1",28.03
"AFF1",48.875
"AFF2",17.5
"AFF3",35.275
"AFF4",97.555
"AFG3L1P",216.055
"AFG3L2",58.145
"AFM",23.315
"AFMID",62.94
"AFP",13.965
"AFTPH",44.915
"AGA",27.895
"AGAP1",82.19
"AGAP1-IT1",105.85
"AGAP11",49.01
"AGAP12P",81.305
"AGAP2",68.555
"AGAP2-AS1",89.99
"AGAP3",65.075
"AGAP4",99.665
"AGAP5",77.635
"AGAP6",88.43
"AGAP7P",98.15
"AGAP9",80.19
"AGBL1",26.175
"AGBL1-AS1",17.62
"AGBL2",41.46
"AGBL3",28.32
"AGBL4",17.795
"AGBL4-IT1",18.05
"AGBL5",91.79
"AGBL5-AS1",0
"AGER",24.29
"AGFG1",75.715
"AGFG2",71.255
"AGGF1",36.85
"AGK",43.37
"AGL",27.265
"AGMAT",26.405
"AGMO",16.035
"AGO1",44.49
"AGO2",120.075
"AGO3",40.68
"AGO4",39.51
"AGPAT1",30.13
"AGPAT2",72.17
"AGPAT3",80.32
"AGPAT4",24.985
"AGPAT4-IT1",44.015
"AGPAT5",28.205
"AGPS",27.6
"AGR2",50.245
"AGR3",41.03
"AGRN",82.785
"AGRP",0
"AGT",47.325
"AGTPBP1",45.925
"AGTR1",39.875
"AGTR2",38.595
"AGTRAP",31.305
"AGXT",49.74
"AGXT2",23.415
"AHCTF1",50.55
"AHCTF1P1",68.02
"AHCY",132.17
"AHCYL1",118.835
"AHCYL2",45.24
"AHDC1",62.945
"AHI1",38.82
"AHNAK",270.825
"AHNAK2",91.525
"AHR",59.26
"AHRR",60.885
"AHSA1",77.57
"AHSA2",118.67
"AHSG",59.365
"AHSP",0
"AICDA",35.51
"AIDA",42.87
"AIF1",14.84
"AIF1L",37.745
"AIFM1",35.865
"AIFM2",61.94
"AIFM3",11.705
"AIG1",36.675
"AIM1",34.435
"AIM1L",43.05
"AIM2",17.175
"AIMP1",48.745
"AIMP2",82.345
"AIP",94.34
"AIPL1",28.39
"AIRE",65.83
"AIRN",62.465
"AJAP1",25.58
"AJUBA",104.56
"AK1",60.015
"AK2",77.415
"AK3",63.73
"AK4",48.7
"AK5",30.295
"AK6",31.235
"AK7",50.205
"AK8",33.83
"AK9",31.435
"AKAIN1",23.81
"AKAP1",99.09
"AKAP10",56.12
"AKAP11",43.745
"AKAP12",35.89
"AKAP13",61.095
"AKAP14",34.195
"AKAP17A",29.735
"AKAP2",32.535
"AKAP3",19.55
"AKAP4",23.92
"AKAP5",45.385
"AKAP6",26.4
"AKAP7",25.11
"AKAP8",76.91
"AKAP8L",86.62
"AKAP9",52.59
"AKIP1",46.045
"AKIRIN1",49.725
"AKIRIN2",68.7
"AKNA",87.355
"AKNAD1",66.43
"AKR1A1",46.8
"AKR1B1",33.75
"AKR1B10",33.765
"AKR1B15",25.655
"AKR1C1",33.295
"AKR1C2",42.325
"AKR1C3",31.88
"AKR1C4",30.84
"AKR1C6P",26.24
"AKR1C8P",33.72
"AKR1D1",32.615
"AKR1E2",51.02
"AKR7A2",57.895
"AKR7A2P1",61.96
"AKR7A3",83.37
"AKR7L",53.765
"AKT1",132.215
"AKT1S1",141.055
"AKT2",66.375
"AKT3",20.18
"AKTIP",49.145
"ALAD",56.23
"ALAS1",23.395
"ALAS2",14.865
"ALB",14.18
"ALCAM",32.795
"ALDH16A1",67.245
"ALDH18A1",42.995
"ALDH1A1",20.18
"ALDH1A2",9.94
"ALDH1A3",67.815
"ALDH1B1",67.995
"ALDH1L1",43.015
"ALDH1L1-AS1",43.14
"ALDH1L1-AS2",36.255
"ALDH1L2",61.99
"ALDH2",47.39
"ALDH3A1",24.98
"ALDH3A2",33.115
"ALDH3B1",107.56
"ALDH3B2",121.39
"ALDH4A1",36.49
"ALDH5A1",56.16
"ALDH6A1",50.97
"ALDH7A1",50.405
"ALDH8A1",27.52
"ALDH9A1",28.43
"ALDOA",95.76
"ALDOB",23.345
"ALDOC",92.725
"ALG1",66.62
"ALG10",59.01
"ALG10B",42.085
"ALG11",38.02
"ALG12",62.435
"ALG13",64.11
"ALG14",26.9
"ALG1L",94.635
"ALG1L2",59.345
"ALG1L9P",83.885
"ALG2",53.98
"ALG3",49.25
"ALG5",33.085
"ALG6",32.67
"ALG8",97.255
"ALG9",20.44
"ALK",27.245
"ALKBH1",58.265
"ALKBH2",76.88
"ALKBH3",30.445
"ALKBH3-AS1",35.22
"ALKBH4",91.195
"ALKBH5",57.8
"ALKBH6",68.725
"ALKBH7",57.425
"ALKBH8",20.36
"ALLC",45.19
"ALMS1",34.645
"ALMS1-IT1",45.905
"ALMS1P1",28.865
"ALOX12",31.65
"ALOX12-AS1",37.085
"ALOX12B",25.18
"ALOX12P2",43.165
"ALOX15",50.635
"ALOX15B",29.915
"ALOX15P1",36.81
"ALOX5",28.77
"ALOX5AP",23.525
"ALOXE3",41.525
"ALPI",47.065
"ALPK1",38.1
"ALPK2",8.855
"ALPK3",69.515
"ALPL",38.19
"ALPP",81.3
"ALPPL2",77.205
"ALS2",36.37
"ALS2CL",70.46
"ALS2CR11",36.39
"ALS2CR12",24.84
"ALX1",27.815
"ALX3",68.595
"ALX4",28.615
"ALYREF",109.22
"AMACR",30.945
"AMBN",20.05
"AMBP",53.45
"AMBRA1",72.825
"AMD1",52.515
"AMDHD1",34.42
"AMDHD2",95.375
"AMELX",14.84
"AMER1",41.05
"AMER2",30.91
"AMER3",38.54
"AMFR",48.16
"AMH",39.22
"AMHR2",38.18
"AMIGO1",75.635
"AMIGO2",70.44
"AMIGO3",91.335
"AMMECR1",37.585
"AMMECR1L",75.215
"AMN",73.055
"AMN1",30.495
"AMOT",23.605
"AMOTL1",28.415
"AMOTL2",133.13
"AMPD1",161
"AMPD2",257.09
"AMPD3",27.13
"AMPH",28.495
"AMT",64.975
"AMTN",13.49
"AMY1A",39.53
"AMY1B",40.355
"AMY1C",39.505
"AMY2A",25.75
"AMY2B",27.425
"AMZ1",101.315
"AMZ2",101.64
"AMZ2P1",84.555
"ANAPC1",53.835
"ANAPC10",35.82
"ANAPC11",50.31
"ANAPC13",78.81
"ANAPC15",50.42
"ANAPC16",45.35
"ANAPC1P1",41.875
"ANAPC2",103.045
"ANAPC4",24.425
"ANAPC5",116.39
"ANAPC7",96.81
"ANG",73.4
"ANGEL1",61.86
"ANGEL2",39.25
"ANGPT1",21.46
"ANGPT2",26.1
"ANGPT4",34.08
"ANGPTL1",63.175
"ANGPTL2",32.32
"ANGPTL3",24.67
"ANGPTL4",63.965
"ANGPTL5",26.295
"ANGPTL6",49.445
"ANGPTL7",24.525
"ANGPTL8",81.695
"ANHX",32.66
"ANK1",26.96
"ANK2",22.955
"ANK3",38.415
"ANKAR",28.175
"ANKDD1A",39.62
"ANKDD1B",24.875
"ANKEF1",27.535
"ANKFN1",27.635
"ANKFY1",44.18
"ANKH",48.83
"ANKHD1",43.08
"ANKHD1-EIF4EBP3",43.38
"ANKIB1",53.925
"ANKK1",21.5
"ANKLE1",40.735
"ANKLE2",101.2
"ANKMY1",81.2
"ANKMY2",36.185
"ANKRA2",42.48
"ANKRD1",29.59
"ANKRD10",53.82
"ANKRD11",240.155
"ANKRD12",41.29
