"cell_line","cell_type","gene","break_density","ratio_non_se"
"HEK293","normal","RXFP4",0,0
"HEK293","normal","ARHGEF2",31.8416666666667,2.06419991265641
"HEK293","normal","MIR6738",0,0
"HEK293","normal","SSR2",93.669,6.07228081503105
"HEK293","normal","CRABP2",0,0
"HEK293","normal","ISG20L2",58.2553333333333,3.77651883732333
"HEK293","normal","MRPL24",60.906,3.94835362094483
"HEK293","normal","HDGF",44.274,2.87015085892541
"HEK293","normal","PRCC",44.7963333333333,2.90401216500375
"HEK293","normal","FCGR2A",28.179,1.82676019907077
"HEK293","normal","PBX1",46.505,3.01477990907364
"HEK293","normal","IER5",124.654666666667,8.08098881064269
"HEK293","normal","LINC01353",21.2743333333333,1.37915133237865
"HEK293","normal","BTG2",63.513,4.11735762530898
"HEK293","normal","FMOD",0,0
"HEK293","normal","PIK3C2B",30.8986666666667,2.00306804609892
"HEK293","normal","MDM4",41.7563333333333,2.70693806708774
"HEK293","normal","SERTAD4-AS1",53.7803333333333,3.48641798595026
"HEK293","normal","SERTAD4",13.887,0.900252630841967
"HEK293","normal","HHAT",38.1726666666667,2.47461968696768
"HEK293","normal","KCTD3",40.296,2.61226902948138
"HEK293","normal","CAPN8",31.1083333333333,2.01666010833457
"HEK293","normal","CAPN2",66.311,4.29874358779878
"HEK293","normal","ENAH",96.5113333333333,6.25654077478212
"HEK293","normal","SRP9",37.2103333333333,2.41223449829624
"HEK293","normal","EPHX1",31.5006666666667,2.04209390364676
"HEK293","normal","PYCR2",43.0416666666667,2.79026237866275
"HEK293","normal","SDE2",38.7836666666667,2.51422898756856
"HEK293","normal","ACBD3",53.4683333333333,3.46619196011151
"HEK293","normal","RHOU",141.781666666667,9.19128094057935
"HEK293","normal","RAB4A",55.5546666666667,3.60144270340716
"HEK293","normal","EGLN1",71.178,4.61425662548207
"HEK293","normal","SNRPD2P2",0,0
"HEK293","normal","SIPA1L2",60.3986666666667,3.9154647199549
"HEK293","normal","TARBP1",77.3726666666667,5.01583831798986
"HEK293","normal","LINC01354",35.588,2.30706348573514
"HEK293","normal","IRF2BP2",47.1736666666667,3.05812756701438
"HEK293","normal","LINC00184",35.126,2.27711340901238
"HEK293","normal","LINC01132",52.297,3.39025792720835
"HEK293","normal","NID1",37.8776666666667,2.45549572022912
"HEK293","normal","GPR137B",38.2286666666667,2.47824999929771
"HEK293","normal","KLF6",99.5303333333333,6.45225350557437
"HEK293","normal","NET1",64.5153333333333,4.18233589421616
"HEK293","normal","CALML5",159.494666666667,10.3395616959696
"HEK293","normal","CALML3-AS1",32.2206666666667,2.08876934789002
"HEK293","normal","CALML3",0,0
"HEK293","normal","GATA3",67.8376666666667,4.39771281679607
"HEK293","normal","GATA3-AS1",149.359,9.68249677323578
"HEK293","normal","TRDMT1",35.275,2.2867726328905
"HEK293","normal","VIM-AS1",61.9126666666667,4.01361280687754
"HEK293","normal","VIM",91.2933333333333,5.91827345803024
"HEK293","normal","MIR1915",0,0
"HEK293","normal","SKIDA1",166.244666666667,10.7771439857502
"HEK293","normal","MLLT10",24.0563333333333,1.55950006277415
"HEK293","normal","COMMD3",133.556333333333,8.65805720810398
"HEK293","normal","COMMD3-BMI1",124.671333333333,8.08206926074092
"HEK293","normal","BMI1",146.056333333333,9.46839478177177
"HEK293","normal","SPAG6",32.2316666666667,2.08948244495485
"HEK293","normal","ARHGAP21",39.147,2.53778279970983
"HEK293","normal","YME1L1",32.035,2.07673313379581
"HEK293","normal","ACBD5",15.138,0.981351215214639
"HEK293","normal","LRRC37A6P",0,0
"HEK293","normal","WAC",49.055,3.18008877410187
"HEK293","normal","BAMBI",134.999333333333,8.75160257760819
"HEK293","normal","NRP1",13.2873333333333,0.861378036307877
"HEK293","normal","GJD4",0,0
"HEK293","normal","FZD8",0,0
"HEK293","normal","MIR4683",0,0
"HEK293","normal","SGMS1",28.5743333333333,1.85238847540064
"HEK293","normal","SGMS1-AS1",77.495,5.02376882171082
"HEK293","normal","ARID5B",42.3033333333333,2.74239843931144
"HEK293","normal","REEP3",26.3923333333333,1.71093594854119
"HEK293","normal","UNC5B",26.6316666666667,1.72645121195168
"HEK293","normal","UNC5B-AS1",0,0
"HEK293","normal","ASCC1",43.1976666666667,2.80037539158213
"HEK293","normal","ANAPC16",29.0223333333333,1.88143097404089
"HEK293","normal","DDIT4",395.458333333333,25.6363797056033
"HEK293","normal","DNAJB12",17.9463333333333,1.16340705676534
"HEK293","normal","KAT6B",33.8396666666667,2.19372427043147
"HEK293","normal","ZNF503",0,0
"HEK293","normal","ZNF503-AS2",420.600666666667,27.2662818967777
"HEK293","normal","MIR606",0,0
"HEK293","normal","PAPSS2",43.534,2.82217887456428
"HEK293","normal","ATAD1",16.883,1.09447434049866
"HEK293","normal","CFL1P1",71.118,4.61036700512846
"HEK293","normal","KLLN",107.617666666667,6.97653111123644
"HEK293","normal","PTEN",39.882,2.5854306490415
"HEK293","normal","ARHGAP19",24.7233333333333,1.60273967570506
"HEK293","normal","FRAT1",72.642,4.70916336211004
"HEK293","normal","FRAT2",62.4263333333333,4.0469122789048
"HEK293","normal","MRPL43",14.4626666666667,0.937571377234614
"HEK293","normal","SEMA4G",15.956,1.03437970603546
"HEK293","normal","MIR608",0,0
"HEK293","normal","LZTS2",40.405,2.61933517312376
"HEK293","normal","PDZD7",30.4556666666667,1.97434968248813
"HEK293","normal","SFXN3",40.0243333333333,2.59465769288033
"HEK293","normal","TRIM8",20.962,1.35890369753794
"HEK293","normal","SMC3",39.9646666666667,2.59078968152869
"HEK293","normal","RBM20",53.6886666666667,3.48047551041003
"HEK293","normal","TCF7L2",40.5773333333333,2.63050702713939
"HEK293","normal","WDR11",26.3353333333333,1.70724080920526
"HEK293","normal","ADAM12",28.277,1.83311324564833
"HEK293","normal","SBF2",35.0303333333333,2.27091162544858
"HEK293","normal","ADM",165.280333333333,10.7146291430669
"HEK293","normal","BBOX1-AS1",37.5066666666667,2.43144490104266
"HEK293","normal","PAX6",40.4553333333333,2.6225981324204
"HEK293","normal","PAUPAR",40.262,2.610064911281
"HEK293","normal","CAPRIN1",26.358,1.70871022133885
"HEK293","normal","UBXN1",73.3353333333333,4.75411008619615
"HEK293","normal","LRRN4CL",0,0
"HEK293","normal","BSCL2",16.1276666666667,1.04550834204716
"HEK293","normal","HNRNPUL2-BSCL2",28.6616666666667,1.85805003391533
"HEK293","normal","GNG3",0,0
"HEK293","normal","HNRNPUL2",49.3726666666667,3.20068215297401
"HEK293","normal","TTC9C",42.8363333333333,2.77695123345264
"HEK293","normal","ZBTB3",121.798333333333,7.89582127280911
"HEK293","normal","POLR2G",0,0
"HEK293","normal","TAF6L",78.5546666666667,5.09246383895589
"HEK293","normal","CDC42EP2",62.359,4.04254726050797
"HEK293","normal","DPF2",0,0
"HEK293","normal","SLC25A45",0,0
"HEK293","normal","FRMD8",0,0
"HEK293","normal","NEAT1",97.243,6.30397253409414
"HEK293","normal","MIR612",0,0
"HEK293","normal","MALAT1",445.890666666667,28.9057568758224
