"gene","rloop_density"
"AGFG2",3.58
"AGGF1",1.31
"AGK",1.21
"AGL",0.93
"AGMAT",2.49
"AGMO",0.81
"AGO1",1.18
"AGO2",2.76
"AGO3",1.15
"AGO4",1.23
"AGPAT1",3.28
"AGPAT2",4.57
"AGPAT3",2.15
"AGPAT4",1.03
"AGPAT4-IT1",0.95
"AGPAT5",1.32
"AGPS",0.77
"AGR2",1.83
"AGR3",0.81
"AGRN",4.4
"AGRP",1.14
"AGT",0.84
"AGTPBP1",0.99
"AGTR1",0.73
"AGTR2",0.77
"AGTRAP",1.3
"AGXT",0.97
"AGXT2",0.84
"AHCTF1",1.14
"AHCTF1P1",0.88
"AHCY",6.68
"AHCYL1",1.55
"AHCYL2",1
"AHDC1",2.83
"AHI1",0.99
"AHNAK",1.55
"AHNAK2",2.45
"AHR",1.04
"AHRR",1.16
"AHSA1",2.2
"AHSA2",2.84
"AHSG",0.84
"AHSP",0.66
"AICDA",0.8
"AIDA",0.97
"AIF1",0.93
"AIF1L",3.54
"AIFM1",1.22
"AIFM2",1.74
"AIFM3",1.1
"AIG1",1.07
"AIM1",1.16
"AIM1L",1.18
"AIM2",0.88
"AIMP1",1.19
"AIMP2",3.94
"AIP",4.41
"AIPL1",0.98
"AIRE",0.85
"AIRN",1.14
"AJAP1",1.11
"AJUBA",1.85
"AK1",2.36
"AK2",1.99
"AK3",1.24
"AK4",1.26
"AK5",0.85
"AK6",1.23
"AK7",1.08
"AK8",1.04
"AK9",0.84
"AKAIN1",0.78
"AKAP1",1.63
"AKAP10",1.3
"AKAP11",1.2
"AKAP12",0.89
"AKAP13",1.18
"AKAP14",0.97
"AKAP17A",2.23
"AKAP2",0.81
"AKAP3",0.86
"AKAP4",0.81
"AKAP5",0.83
"AKAP6",0.77
"AKAP7",0.9
"AKAP8",10.82
"AKAP8L",4.89
"AKAP9",1.08
"AKIP1",1.12
"AKIRIN1",2.22
"AKIRIN2",1.41
"AKNA",2.36
"AKNAD1",0.76
"AKR1A1",3.7
"AKR1B1",0.9
"AKR1B10",0.91
"AKR1B15",0.87
"AKR1C1",0.78
"AKR1C2",0.76
"AKR1C3",0.75
"AKR1C4",0.72
"AKR1C6P",0.81
"AKR1C8P",0.73
"AKR1D1",0.9
"AKR1E2",1.67
"AKR7A2",3.18
"AKR7A2P1",1
"AKR7A3",1.48
"AKR7L",1.33
"AKT1",8.98
"AKT1S1",5.13
"AKT2",3.29
"AKT3",0.85
"AKTIP",2.02
"ALAD",1.73
"ALAS1",1.54
"ALAS2",1.08
"ALB",0.81
"ALCAM",0.91
"ALDH16A1",3.87
"ALDH18A1",1.85
"ALDH1A1",0.86
"ALDH1A2",0.86
"ALDH1A3",1.16
"ALDH1B1",3.56
"ALDH1L1",0.8
"ALDH1L1-AS1",0.73
"ALDH1L1-AS2",0.7
"ALDH1L2",0.89
"ALDH2",0.97
"ALDH3A1",1.21
"ALDH3A2",1.34
"ALDH3B1",4.17
"ALDH3B2",2.29
"ALDH4A1",1.85
"ALDH5A1",1.23
"ALDH6A1",1.34
"ALDH7A1",1.17
"ALDH8A1",0.83
"ALDH9A1",1.08
